intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Toryská - Trieda SNP,0.3,seed1 full,0.2,0,162,22290,137.59,1837,-842.24
Toryská - Trieda SNP,0.3,seed2 full,0.2,0,162,10706,66.09,1846,-16.44
Toryská - Trieda SNP,0.3,seed3 full,0.2,0,162,14342,88.53,1847,-466.68
Toryská - Trieda SNP,0.3,seed1 full,0.2,1,162,54642,337.3,1574,-1897.27
Toryská - Trieda SNP,0.3,seed2 full,0.2,1,162,9443,58.29,1513,-24.59
Toryská - Trieda SNP,0.3,seed3 full,0.2,1,162,12619,77.9,1509,-429.11
Toryská - Trieda SNP,0.3,seed1 full,0.2,2,162,14879,91.85,1465,-586.94
Toryská - Trieda SNP,0.3,seed2 full,0.2,2,162,7784,48.05,1472,-72.94
Toryská - Trieda SNP,0.3,seed3 full,0.2,2,162,10107,62.39,1466,-220.4
Toryská - Trieda SNP,0.5,seed1 full,0.2,0,162,20894,128.98,1979,-824.76
Toryská - Trieda SNP,0.5,seed2 full,0.2,0,162,10000,61.73,1979,-47.68
Toryská - Trieda SNP,0.5,seed3 full,0.2,0,162,12502,77.17,1981,-300.18
Toryská - Trieda SNP,0.5,seed1 full,0.2,1,162,19564,120.77,1024,-834.59
Toryská - Trieda SNP,0.5,seed2 full,0.2,1,162,7858,48.51,775,-21.21
Toryská - Trieda SNP,0.5,seed3 full,0.2,1,162,9067,55.97,775,-193.4
Toryská - Trieda SNP,0.5,seed1 full,0.2,2,162,31833,196.5,1916,-1155.83
Toryská - Trieda SNP,0.5,seed2 full,0.2,2,162,10715,66.14,1910,-82.25
Toryská - Trieda SNP,0.5,seed3 full,0.2,2,162,15372,94.89,1912,-601.96
Toryská - Trieda SNP,0.8,seed1 full,0.2,0,162,21299,131.48,1848,-560.76
Toryská - Trieda SNP,0.8,seed2 full,0.2,0,162,10935,67.5,1841,-66.52
Toryská - Trieda SNP,0.8,seed3 full,0.2,0,162,14476,89.36,1842,-479.52
Toryská - Trieda SNP,0.8,seed1 full,0.2,1,161,37875,235.25,1589,-1247.91
Toryská - Trieda SNP,0.8,seed2 full,0.2,1,162,11255,69.48,1592,-131.85
Toryská - Trieda SNP,0.8,seed3 full,0.2,1,162,13258,81.84,1587,-384.7
Toryská - Trieda SNP,0.8,seed1 full,0.2,2,141,57932,410.87,1906,-2062.73
Toryská - Trieda SNP,0.8,seed2 full,0.2,2,162,9237,57.02,1651,-58.68
Toryská - Trieda SNP,0.8,seed3 full,0.2,2,162,10991,67.85,1658,-318.25
Toryská - Trieda SNP,0.3,seed1 full,0.6,0,495,22889,46.24,1893,-10.29
Toryská - Trieda SNP,0.3,seed2 full,0.6,0,495,39056,78.9,1894,-169.48
Toryská - Trieda SNP,0.3,seed3 full,0.6,0,495,44517,89.93,1895,-821.87
Toryská - Trieda SNP,0.3,seed1 full,0.6,1,495,24605,49.71,1906,-29.48
Toryská - Trieda SNP,0.3,seed2 full,0.6,1,495,47339,95.63,1905,-275.6
Toryská - Trieda SNP,0.3,seed3 full,0.6,1,495,56249,113.63,1904,-1207.56
Toryská - Trieda SNP,0.3,seed1 full,0.6,2,495,24593,49.68,1825,-28.88
Toryská - Trieda SNP,0.3,seed2 full,0.6,2,495,44754,90.41,1819,-92.03
Toryská - Trieda SNP,0.3,seed3 full,0.6,2,495,52668,106.4,1820,-1076.08
Toryská - Trieda SNP,0.5,seed1 full,0.6,0,495,25575,51.67,1840,-25.19
Toryská - Trieda SNP,0.5,seed2 full,0.6,0,495,40011,80.83,1838,-141.95
Toryská - Trieda SNP,0.5,seed3 full,0.6,0,495,47724,96.41,1837,-860.43
Toryská - Trieda SNP,0.5,seed1 full,0.6,1,495,22634,45.73,1967,-42.86
Toryská - Trieda SNP,0.5,seed2 full,0.6,1,495,40635,82.09,1976,-103.12
Toryská - Trieda SNP,0.5,seed3 full,0.6,1,495,46836,94.62,1967,-620.98
Toryská - Trieda SNP,0.5,seed1 full,0.6,2,495,28307,57.19,1788,-87.82
Toryská - Trieda SNP,0.5,seed2 full,0.6,2,495,50123,101.26,1786,-87.31
Toryská - Trieda SNP,0.5,seed3 full,0.6,2,495,41640,84.12,1789,-728.59
