intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Toryská - Trieda SNP,0.3,PPO lead-masked,0.2,0,162,13030,80.43,1840,-409.59
Toryská - Trieda SNP,0.3,PPO lead-masked,0.2,1,162,13343,82.36,1515,-278.12
Toryská - Trieda SNP,0.3,PPO lead-masked,0.2,2,162,10367,63.99,1469,-170.44
Toryská - Trieda SNP,0.3,PPO lead-masked,0.2,3,162,11065,68.3,1800,-136.18
Toryská - Trieda SNP,0.3,PPO lead-masked,0.2,4,162,12906,79.67,1873,-378.03
Toryská - Trieda SNP,0.3,PPO lead-masked,0.2,5,162,13632,84.15,1635,-317.16
Toryská - Trieda SNP,0.3,PPO lead-masked,0.2,6,162,11748,72.52,1623,-147.76
Toryská - Trieda SNP,0.3,PPO lead-masked,0.2,7,162,12642,78.04,1957,-297.26
Toryská - Trieda SNP,0.3,PPO lead-masked,0.2,8,162,12039,74.31,1633,-185.09
Toryská - Trieda SNP,0.3,PPO lead-masked,0.2,9,162,10917,67.39,1309,-191.81
Toryská - Trieda SNP,0.5,PPO lead-masked,0.2,0,162,12819,79.13,1979,-329.65
Toryská - Trieda SNP,0.5,PPO lead-masked,0.2,1,162,9114,56.26,780,-172.97
Toryská - Trieda SNP,0.5,PPO lead-masked,0.2,2,162,12954,79.96,1909,-191.41
Toryská - Trieda SNP,0.5,PPO lead-masked,0.2,3,162,10607,65.48,1840,-155.75
Toryská - Trieda SNP,0.5,PPO lead-masked,0.2,4,162,14626,90.28,1873,-346.67
Toryská - Trieda SNP,0.5,PPO lead-masked,0.2,5,162,12091,74.64,1414,-207.47
Toryská - Trieda SNP,0.5,PPO lead-masked,0.2,6,162,11937,73.69,1989,-198.31
Toryská - Trieda SNP,0.5,PPO lead-masked,0.2,7,162,11779,72.71,1360,-288.72
Toryská - Trieda SNP,0.5,PPO lead-masked,0.2,8,162,7351,45.38,684,-90.08
Toryská - Trieda SNP,0.5,PPO lead-masked,0.2,9,162,14995,92.56,1815,-295.52
Toryská - Trieda SNP,0.8,PPO lead-masked,0.2,0,162,12239,75.55,1841,-410.06
Toryská - Trieda SNP,0.8,PPO lead-masked,0.2,1,162,12209,75.36,1587,-290.39
Toryská - Trieda SNP,0.8,PPO lead-masked,0.2,2,162,10431,64.39,1652,-217.53
Toryská - Trieda SNP,0.8,PPO lead-masked,0.2,3,162,10306,63.62,1181,-199.39
Toryská - Trieda SNP,0.8,PPO lead-masked,0.2,4,162,10193,62.92,1587,-217.02
Toryská - Trieda SNP,0.8,PPO lead-masked,0.2,5,162,10013,61.81,760,-228.68
Toryská - Trieda SNP,0.8,PPO lead-masked,0.2,6,162,11962,73.84,1649,-293.7
Toryská - Trieda SNP,0.8,PPO lead-masked,0.2,7,162,12315,76.02,1652,-286.05
Toryská - Trieda SNP,0.8,PPO lead-masked,0.2,8,162,11649,71.91,1716,-128.36
Toryská - Trieda SNP,0.8,PPO lead-masked,0.2,9,162,10972,67.73,1751,-213.82
Toryská - Trieda SNP,0.3,PPO lead-masked,0.6,0,495,35485,71.69,1900,-476.29
Toryská - Trieda SNP,0.3,PPO lead-masked,0.6,1,495,38201,77.17,1898,-481.59
Toryská - Trieda SNP,0.3,PPO lead-masked,0.6,2,495,40999,82.83,1820,-409.29
Toryská - Trieda SNP,0.3,PPO lead-masked,0.6,3,495,34831,70.37,1860,-383.49
Toryská - Trieda SNP,0.3,PPO lead-masked,0.6,4,495,40422,81.66,1934,-333.0
Toryská - Trieda SNP,0.3,PPO lead-masked,0.6,5,495,41813,84.47,1944,-337.25
Toryská - Trieda SNP,0.3,PPO lead-masked,0.6,6,495,32932,66.53,1746,-447.01
Toryská - Trieda SNP,0.3,PPO lead-masked,0.6,7,495,37953,76.67,1908,-431.33
Toryská - Trieda SNP,0.3,PPO lead-masked,0.6,8,495,38592,77.96,1693,-517.48
Toryská - Trieda SNP,0.3,PPO lead-masked,0.6,9,495,46344,93.62,1840,-627.73
Toryská - Trieda SNP,0.5,PPO lead-masked,0.6,0,495,33034,66.74,1839,-322.81
Toryská - Trieda SNP,0.5,PPO lead-masked,0.6,1,495,34370,69.43,1967,-301.06
Toryská - Trieda SNP,0.5,PPO lead-masked,0.6,2,495,38108,76.99,1787,-448.87
Toryská - Trieda SNP,0.5,PPO lead-masked,0.6,3,495,40768,82.36,1998,-345.89
Toryská - Trieda SNP,0.5,PPO lead-masked,0.6,4,495,36603,73.95,1677,-314.42
Toryská - Trieda SNP,0.5,PPO lead-masked,0.6,5,490,47945,97.85,1937,-419.56
Toryská - Trieda SNP,0.5,PPO lead-masked,0.6,6,495,37039,74.83,1588,-388.96
Toryská - Trieda SNP,0.5,PPO lead-masked,0.6,7,495,40734,82.29,1852,-439.18
Toryská - Trieda SNP,0.5,PPO lead-masked,0.6,8,495,40315,81.44,1812,-345.35
Toryská - Trieda SNP,0.5,PPO lead-masked,0.6,9,495,37337,75.43,1799,-430.53
Toryská - Trieda SNP,0.8,PPO lead-masked,0.6,0,495,46534,94.01,1820,-522.82
Toryská - Trieda SNP,0.8,PPO lead-masked,0.6,1,495,41072,82.97,1745,-290.16
Toryská - Trieda SNP,0.8,PPO lead-masked,0.6,2,495,39133,79.06,1862,-374.9
Toryská - Trieda SNP,0.8,PPO lead-masked,0.6,3,495,40110,81.03,1855,-375.31
Toryská - Trieda SNP,0.8,PPO lead-masked,0.6,4,495,41401,83.64,1941,-389.65
Toryská - Trieda SNP,0.8,PPO lead-masked,0.6,5,495,42834,86.53,1920,-243.2
Toryská - Trieda SNP,0.8,PPO lead-masked,0.6,6,495,33221,67.11,1921,-301.43
Toryská - Trieda SNP,0.8,PPO lead-masked,0.6,7,495,36466,73.67,1732,-294.09
Toryská - Trieda SNP,0.8,PPO lead-masked,0.6,8,495,46254,93.44,1957,-415.15
Toryská - Trieda SNP,0.8,PPO lead-masked,0.6,9,495,38412,77.6,1821,-141.05
Toryská - Trieda SNP,0.3,PPO lead-masked,1.0,0,834,89914,107.81,1964,-172.08
Toryská - Trieda SNP,0.3,PPO lead-masked,1.0,1,833,69713,83.69,1714,-45.54
Toryská - Trieda SNP,0.3,PPO lead-masked,1.0,2,836,63543,76.01,1995,-145.02
Toryská - Trieda SNP,0.3,PPO lead-masked,1.0,3,835,77843,93.23,1944,12.52
Toryská - Trieda SNP,0.3,PPO lead-masked,1.0,4,836,77272,92.43,1893,-135.78
Toryská - Trieda SNP,0.3,PPO lead-masked,1.0,5,836,68837,82.34,1950,-86.7
Toryská - Trieda SNP,0.3,PPO lead-masked,1.0,6,836,73555,87.98,1962,-36.52
Toryská - Trieda SNP,0.3,PPO lead-masked,1.0,7,836,73823,88.31,1929,-97.45
Toryská - Trieda SNP,0.3,PPO lead-masked,1.0,8,835,75033,89.86,1929,-95.79
Toryská - Trieda SNP,0.3,PPO lead-masked,1.0,9,836,82883,99.14,1850,-296.05
Toryská - Trieda SNP,0.5,PPO lead-masked,1.0,0,836,75071,89.8,1931,-254.92
Toryská - Trieda SNP,0.5,PPO lead-masked,1.0,1,836,71360,85.36,1854,-123.52
Toryská - Trieda SNP,0.5,PPO lead-masked,1.0,2,826,81620,98.81,1950,-178.68
Toryská - Trieda SNP,0.5,PPO lead-masked,1.0,3,836,76178,91.12,1977,-153.28
Toryská - Trieda SNP,0.5,PPO lead-masked,1.0,4,836,76339,91.31,1763,-206.12
Toryská - Trieda SNP,0.5,PPO lead-masked,1.0,5,836,74244,88.81,1926,-55.15
Toryská - Trieda SNP,0.5,PPO lead-masked,1.0,6,836,67651,80.92,1983,-45.58
Toryská - Trieda SNP,0.5,PPO lead-masked,1.0,7,828,78244,94.5,1902,-155.43
Toryská - Trieda SNP,0.5,PPO lead-masked,1.0,8,833,81483,97.82,1957,-83.31
Toryská - Trieda SNP,0.5,PPO lead-masked,1.0,9,826,87652,106.12,1891,-25.85
Toryská - Trieda SNP,0.8,PPO lead-masked,1.0,0,828,73392,88.64,1956,-120.54
Toryská - Trieda SNP,0.8,PPO lead-masked,1.0,1,816,83699,102.57,1943,-378.69
Toryská - Trieda SNP,0.8,PPO lead-masked,1.0,2,836,76566,91.59,1971,-77.28
Toryská - Trieda SNP,0.8,PPO lead-masked,1.0,3,836,76416,91.41,1898,-271.0
Toryská - Trieda SNP,0.8,PPO lead-masked,1.0,4,836,80629,96.45,1996,-88.21
Toryská - Trieda SNP,0.8,PPO lead-masked,1.0,5,836,72926,87.23,1925,-99.66
Toryská - Trieda SNP,0.8,PPO lead-masked,1.0,6,836,75252,90.01,1980,-102.13
Toryská - Trieda SNP,0.8,PPO lead-masked,1.0,7,836,77496,92.7,1795,-113.63
Toryská - Trieda SNP,0.8,PPO lead-masked,1.0,8,836,75754,90.61,1924,-70.73
Toryská - Trieda SNP,0.8,PPO lead-masked,1.0,9,807,80526,99.78,1820,-432.54
Toryská - Trieda SNP,0.3,PPO lead-masked,1.4,0,1024,109434,106.87,1904,-144.75
Toryská - Trieda SNP,0.3,PPO lead-masked,1.4,1,1113,105583,94.86,1903,1.07
Toryská - Trieda SNP,0.3,PPO lead-masked,1.4,2,1112,110954,99.78,1990,-36.77
Toryská - Trieda SNP,0.3,PPO lead-masked,1.4,3,1124,107414,95.56,1967,28.4
Toryská - Trieda SNP,0.3,PPO lead-masked,1.4,4,1159,101075,87.21,1948,52.76
Toryská - Trieda SNP,0.3,PPO lead-masked,1.4,5,1006,109356,108.7,1950,-52.71
Toryská - Trieda SNP,0.3,PPO lead-masked,1.4,6,941,105488,112.1,1927,-364.0
Toryská - Trieda SNP,0.3,PPO lead-masked,1.4,7,1114,116729,104.78,1991,41.97
Toryská - Trieda SNP,0.3,PPO lead-masked,1.4,8,1139,107863,94.7,1965,72.76
Toryská - Trieda SNP,0.3,PPO lead-masked,1.4,9,1095,108314,98.92,1913,-83.6
Toryská - Trieda SNP,0.5,PPO lead-masked,1.4,0,1090,113390,104.03,1931,-81.82
Toryská - Trieda SNP,0.5,PPO lead-masked,1.4,1,1056,111719,105.79,1975,-73.8
Toryská - Trieda SNP,0.5,PPO lead-masked,1.4,2,980,113982,116.31,1972,-294.57
Toryská - Trieda SNP,0.5,PPO lead-masked,1.4,3,1116,101888,91.3,1972,-31.76
Toryská - Trieda SNP,0.5,PPO lead-masked,1.4,4,1084,108599,100.18,1887,16.62
Toryská - Trieda SNP,0.5,PPO lead-masked,1.4,5,1109,107116,96.59,1984,-88.83
Toryská - Trieda SNP,0.5,PPO lead-masked,1.4,6,1126,108171,96.07,1980,37.99
Toryská - Trieda SNP,0.5,PPO lead-masked,1.4,7,930,109441,117.68,1954,-328.7
Toryská - Trieda SNP,0.5,PPO lead-masked,1.4,8,1058,108558,102.61,1816,-93.26
Toryská - Trieda SNP,0.5,PPO lead-masked,1.4,9,1043,104853,100.53,1994,-103.82
Toryská - Trieda SNP,0.8,PPO lead-masked,1.4,0,1128,102993,91.31,1850,27.3
Toryská - Trieda SNP,0.8,PPO lead-masked,1.4,1,1098,108424,98.75,1973,-90.12
Toryská - Trieda SNP,0.8,PPO lead-masked,1.4,2,1045,111599,106.79,1994,-156.05
Toryská - Trieda SNP,0.8,PPO lead-masked,1.4,3,1029,111103,107.97,1953,-63.1
Toryská - Trieda SNP,0.8,PPO lead-masked,1.4,4,1145,102217,89.27,1882,40.0
Toryská - Trieda SNP,0.8,PPO lead-masked,1.4,5,1092,108463,99.33,1911,-6.32
Toryská - Trieda SNP,0.8,PPO lead-masked,1.4,6,1096,104011,94.9,1951,28.04
