intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Herlianska - Zelená Stráň,0.3,MaxPressure,1.4,0,1139,71580,62.84,679,-267.74
Herlianska - Zelená Stráň,0.3,MaxPressure,1.4,1,1106,71954,65.06,494,-263.95
Herlianska - Zelená Stráň,0.3,MaxPressure,1.4,2,1130,69483,61.49,1136,-279.15
Herlianska - Zelená Stráň,0.3,MaxPressure,1.4,3,1117,71300,63.83,622,-274.71
Herlianska - Zelená Stráň,0.3,MaxPressure,1.4,4,1120,77576,69.26,740,-244.97
Herlianska - Zelená Stráň,0.3,MaxPressure,1.4,5,1117,72572,64.97,547,-268.5
Herlianska - Zelená Stráň,0.3,MaxPressure,1.4,6,1152,72812,63.2,621,-246.29
Herlianska - Zelená Stráň,0.3,MaxPressure,1.4,7,1157,74528,64.41,494,-249.45
Herlianska - Zelená Stráň,0.3,MaxPressure,1.4,8,1127,70440,62.5,526,-277.3
Herlianska - Zelená Stráň,0.3,MaxPressure,1.4,9,1125,76939,68.39,786,-253.58
Herlianska - Zelená Stráň,0.5,MaxPressure,1.4,0,1137,74893,65.87,709,-252.61
Herlianska - Zelená Stráň,0.5,MaxPressure,1.4,1,1129,75045,66.47,587,-239.24
Herlianska - Zelená Stráň,0.5,MaxPressure,1.4,2,1134,72353,63.8,601,-250.43
Herlianska - Zelená Stráň,0.5,MaxPressure,1.4,3,1140,71648,62.85,504,-256.16
Herlianska - Zelená Stráň,0.5,MaxPressure,1.4,4,1137,71481,62.87,605,-239.26
Herlianska - Zelená Stráň,0.5,MaxPressure,1.4,5,1123,69431,61.83,505,-229.13
Herlianska - Zelená Stráň,0.5,MaxPressure,1.4,6,1130,69421,61.43,971,-257.94
Herlianska - Zelená Stráň,0.5,MaxPressure,1.4,7,1105,76523,69.25,584,-267.59
Herlianska - Zelená Stráň,0.5,MaxPressure,1.4,8,1132,73684,65.09,690,-249.57
Herlianska - Zelená Stráň,0.5,MaxPressure,1.4,9,1133,73490,64.86,566,-285.99
Herlianska - Zelená Stráň,0.8,MaxPressure,1.4,0,1128,74860,66.37,784,-249.37
Herlianska - Zelená Stráň,0.8,MaxPressure,1.4,1,1121,75538,67.38,574,-287.88
Herlianska - Zelená Stráň,0.8,MaxPressure,1.4,2,1130,73102,64.69,621,-315.22
Herlianska - Zelená Stráň,0.8,MaxPressure,1.4,3,1108,77229,69.7,597,-292.39
Herlianska - Zelená Stráň,0.8,MaxPressure,1.4,4,1126,75610,67.15,717,-269.45
Herlianska - Zelená Stráň,0.8,MaxPressure,1.4,5,1114,69474,62.36,647,-296.18
Herlianska - Zelená Stráň,0.8,MaxPressure,1.4,6,1131,70473,62.31,518,-214.5
Herlianska - Zelená Stráň,0.8,MaxPressure,1.4,7,1127,73732,65.42,1023,-228.1
Herlianska - Zelená Stráň,0.8,MaxPressure,1.4,8,1111,75587,68.04,734,-280.73
Herlianska - Zelená Stráň,0.8,MaxPressure,1.4,9,1129,72454,64.18,536,-254.07
