intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Jantárova - Palackého,0.3,MaxPressure,0.6,0,536,11808,22.03,149,-152.44
Jantárova - Palackého,0.3,MaxPressure,0.6,1,536,12898,24.06,226,-205.34
Jantárova - Palackého,0.3,MaxPressure,0.6,2,536,13568,25.31,229,-191.01
Jantárova - Palackého,0.3,MaxPressure,0.6,3,536,13595,25.36,399,-250.22
Jantárova - Palackého,0.3,MaxPressure,0.6,4,536,12648,23.6,268,-168.5
Jantárova - Palackého,0.3,MaxPressure,0.6,5,536,11722,21.87,230,-176.01
Jantárova - Palackého,0.3,MaxPressure,0.6,6,536,13016,24.28,228,-182.25
Jantárova - Palackého,0.3,MaxPressure,0.6,7,536,12521,23.36,241,-200.98
Jantárova - Palackého,0.3,MaxPressure,0.6,8,536,12707,23.71,204,-196.7
Jantárova - Palackého,0.3,MaxPressure,0.6,9,536,12845,23.96,210,-195.04
Jantárova - Palackého,0.5,MaxPressure,0.6,0,536,12553,23.42,207,-174.28
Jantárova - Palackého,0.5,MaxPressure,0.6,1,536,11300,21.08,174,-146.97
Jantárova - Palackého,0.5,MaxPressure,0.6,2,536,13157,24.55,240,-192.87
Jantárova - Palackého,0.5,MaxPressure,0.6,3,536,12013,22.41,303,-194.71
Jantárova - Palackého,0.5,MaxPressure,0.6,4,536,12501,23.32,226,-187.8
Jantárova - Palackého,0.5,MaxPressure,0.6,5,536,12451,23.23,269,-182.34
Jantárova - Palackého,0.5,MaxPressure,0.6,6,536,13715,25.59,272,-216.73
Jantárova - Palackého,0.5,MaxPressure,0.6,7,536,12290,22.93,206,-185.63
Jantárova - Palackého,0.5,MaxPressure,0.6,8,536,12604,23.51,236,-165.4
Jantárova - Palackého,0.5,MaxPressure,0.6,9,536,12376,23.09,194,-181.2
Jantárova - Palackého,0.8,MaxPressure,0.6,0,536,12920,24.1,356,-191.81
Jantárova - Palackého,0.8,MaxPressure,0.6,1,536,12468,23.26,251,-156.54
Jantárova - Palackého,0.8,MaxPressure,0.6,2,536,13232,24.69,238,-207.62
Jantárova - Palackého,0.8,MaxPressure,0.6,3,536,13207,24.64,188,-188.42
Jantárova - Palackého,0.8,MaxPressure,0.6,4,536,13584,25.34,247,-222.72
Jantárova - Palackého,0.8,MaxPressure,0.6,5,536,12745,23.78,232,-203.77
Jantárova - Palackého,0.8,MaxPressure,0.6,6,536,12231,22.82,195,-175.3
Jantárova - Palackého,0.8,MaxPressure,0.6,7,536,12530,23.38,197,-186.4
Jantárova - Palackého,0.8,MaxPressure,0.6,8,536,12715,23.72,155,-153.47
Jantárova - Palackého,0.8,MaxPressure,0.6,9,536,12270,22.89,229,-193.56
