intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Toryská - Trieda SNP,0.3,MaxPressure,0.2,0,152,37651,247.7,1898,-1456.91
Toryská - Trieda SNP,0.3,MaxPressure,0.2,1,153,42701,279.09,1901,-1581.4
Toryská - Trieda SNP,0.3,MaxPressure,0.2,2,151,37965,251.42,1867,-1594.76
Toryská - Trieda SNP,0.3,MaxPressure,0.2,3,152,40014,263.25,1959,-1543.66
Toryská - Trieda SNP,0.3,MaxPressure,0.2,4,151,38440,254.57,1899,-1551.98
Toryská - Trieda SNP,0.3,MaxPressure,0.2,5,152,36358,239.2,1808,-1422.82
Toryská - Trieda SNP,0.3,MaxPressure,0.2,6,153,37485,245.0,1987,-1585.07
Toryská - Trieda SNP,0.3,MaxPressure,0.2,7,153,40309,263.46,1951,-1608.79
Toryská - Trieda SNP,0.3,MaxPressure,0.2,8,151,40025,265.07,1884,-1606.73
Toryská - Trieda SNP,0.3,MaxPressure,0.2,9,153,35434,231.59,1975,-1406.14
Toryská - Trieda SNP,0.5,MaxPressure,0.2,0,153,35358,231.1,1979,-1438.37
Toryská - Trieda SNP,0.5,MaxPressure,0.2,1,153,35685,233.24,1972,-1455.61
Toryská - Trieda SNP,0.5,MaxPressure,0.2,2,152,38176,251.16,1980,-1539.58
Toryská - Trieda SNP,0.5,MaxPressure,0.2,3,153,31872,208.31,1833,-1270.13
Toryská - Trieda SNP,0.5,MaxPressure,0.2,4,152,39294,258.51,1960,-1670.86
Toryská - Trieda SNP,0.5,MaxPressure,0.2,5,153,34033,222.44,1639,-1304.6
Toryská - Trieda SNP,0.5,MaxPressure,0.2,6,151,42643,282.4,1978,-1663.76
Toryská - Trieda SNP,0.5,MaxPressure,0.2,7,153,34865,227.88,1977,-1399.66
Toryská - Trieda SNP,0.5,MaxPressure,0.2,8,152,33450,220.07,1971,-1370.18
Toryská - Trieda SNP,0.5,MaxPressure,0.2,9,152,39700,261.18,1938,-1655.19
Toryská - Trieda SNP,0.8,MaxPressure,0.2,0,151,44650,295.7,1971,-1636.73
Toryská - Trieda SNP,0.8,MaxPressure,0.2,1,153,41251,269.61,1993,-1570.81
Toryská - Trieda SNP,0.8,MaxPressure,0.2,2,152,39333,258.77,1906,-1520.94
Toryská - Trieda SNP,0.8,MaxPressure,0.2,3,153,36731,240.07,1763,-1385.99
Toryská - Trieda SNP,0.8,MaxPressure,0.2,4,152,32236,212.08,1932,-1342.13
Toryská - Trieda SNP,0.8,MaxPressure,0.2,5,152,39296,258.53,1976,-1669.08
Toryská - Trieda SNP,0.8,MaxPressure,0.2,6,152,35893,236.14,1883,-1428.52
Toryská - Trieda SNP,0.8,MaxPressure,0.2,7,153,33952,221.91,1901,-1393.86
Toryská - Trieda SNP,0.8,MaxPressure,0.2,8,151,38513,255.05,1986,-1596.97
Toryská - Trieda SNP,0.8,MaxPressure,0.2,9,152,37363,245.81,1904,-1451.47
