intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Herlianska - Zelená Stráň,0.3,PPO,0.2,0,189,6462,34.19,333,-165.92
Herlianska - Zelená Stráň,0.3,Static,0.2,0,189,4955,26.22,149,-154.04
Herlianska - Zelená Stráň,0.3,Actuated,0.2,0,189,674,3.57,32,87.66
Herlianska - Zelená Stráň,0.3,PPO,0.2,1,189,6859,36.29,373,-262.72
Herlianska - Zelená Stráň,0.3,Static,0.2,1,189,6137,32.47,151,-218.74
Herlianska - Zelená Stráň,0.3,Actuated,0.2,1,189,669,3.54,34,77.78
Herlianska - Zelená Stráň,0.3,PPO,0.2,2,189,8702,46.04,569,-375.93
Herlianska - Zelená Stráň,0.3,Static,0.2,2,189,5711,30.22,134,-182.62
Herlianska - Zelená Stráň,0.3,Actuated,0.2,2,189,972,5.14,61,64.72
Herlianska - Zelená Stráň,0.3,PPO,0.2,3,189,5996,31.72,345,-193.75
Herlianska - Zelená Stráň,0.3,Static,0.2,3,189,5473,28.96,135,-178.2
Herlianska - Zelená Stráň,0.3,Actuated,0.2,3,189,753,3.98,33,67.09
Herlianska - Zelená Stráň,0.3,PPO,0.2,4,189,5271,27.89,403,-128.44
Herlianska - Zelená Stráň,0.3,Static,0.2,4,189,6906,36.54,148,-251.97
Herlianska - Zelená Stráň,0.3,Actuated,0.2,4,189,616,3.26,38,76.28
Herlianska - Zelená Stráň,0.3,PPO,0.2,5,189,6617,35.01,262,-213.16
Herlianska - Zelená Stráň,0.3,Static,0.2,5,189,5078,26.87,155,-141.6
Herlianska - Zelená Stráň,0.3,Actuated,0.2,5,189,632,3.34,31,77.05
Herlianska - Zelená Stráň,0.3,PPO,0.2,6,189,6268,33.16,253,-175.45
Herlianska - Zelená Stráň,0.3,Static,0.2,6,189,5221,27.62,152,-166.23
Herlianska - Zelená Stráň,0.3,Actuated,0.2,6,189,903,4.78,41,75.78
Herlianska - Zelená Stráň,0.3,PPO,0.2,7,189,6397,33.85,312,-188.64
Herlianska - Zelená Stráň,0.3,Static,0.2,7,189,5710,30.21,154,-194.86
Herlianska - Zelená Stráň,0.3,Actuated,0.2,7,189,615,3.25,36,80.16
Herlianska - Zelená Stráň,0.3,PPO,0.2,8,189,7457,39.46,340,-211.45
Herlianska - Zelená Stráň,0.3,Static,0.2,8,189,5939,31.42,133,-208.67
Herlianska - Zelená Stráň,0.3,Actuated,0.2,8,189,495,2.62,33,81.22
Herlianska - Zelená Stráň,0.3,PPO,0.2,9,189,5541,29.32,212,-147.48
Herlianska - Zelená Stráň,0.3,Static,0.2,9,189,5564,29.44,136,-175.54
Herlianska - Zelená Stráň,0.3,Actuated,0.2,9,189,637,3.37,26,84.77
Herlianska - Zelená Stráň,0.5,PPO,0.2,0,189,10222,54.08,616,-494.23
Herlianska - Zelená Stráň,0.5,Static,0.2,0,189,5683,30.07,154,-194.72
Herlianska - Zelená Stráň,0.5,Actuated,0.2,0,189,609,3.22,27,79.27
Herlianska - Zelená Stráň,0.5,PPO,0.2,1,189,6822,36.1,407,-214.18
Herlianska - Zelená Stráň,0.5,Static,0.2,1,189,5386,28.5,146,-167.86
Herlianska - Zelená Stráň,0.5,Actuated,0.2,1,189,670,3.54,31,79.93
Herlianska - Zelená Stráň,0.5,PPO,0.2,2,189,5483,29.01,356,-137.55
Herlianska - Zelená Stráň,0.5,Static,0.2,2,189,5814,30.76,130,-187.86
Herlianska - Zelená Stráň,0.5,Actuated,0.2,2,189,563,2.98,37,81.88
Herlianska - Zelená Stráň,0.5,PPO,0.2,3,189,8415,44.52,426,-245.45
Herlianska - Zelená Stráň,0.5,Static,0.2,3,189,5929,31.37,145,-208.41
