intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Herlianska - Zelená Stráň,0.3,Static,0.2,0,189,5468,28.93,153,-182.46
Herlianska - Zelená Stráň,0.3,Actuated,0.2,0,189,674,3.57,32,87.66
Herlianska - Zelená Stráň,0.3,Static,0.2,1,189,6109,32.32,143,-213.66
Herlianska - Zelená Stráň,0.3,Actuated,0.2,1,189,669,3.54,34,77.78
Herlianska - Zelená Stráň,0.3,Static,0.2,2,189,6026,31.88,142,-204.32
Herlianska - Zelená Stráň,0.3,Actuated,0.2,2,189,972,5.14,61,64.72
Herlianska - Zelená Stráň,0.3,Static,0.2,3,189,5473,28.96,135,-178.2
Herlianska - Zelená Stráň,0.3,Actuated,0.2,3,189,753,3.98,33,67.09
Herlianska - Zelená Stráň,0.3,Static,0.2,4,189,7047,37.29,157,-262.15
Herlianska - Zelená Stráň,0.3,Actuated,0.2,4,189,616,3.26,38,76.28
Herlianska - Zelená Stráň,0.3,Static,0.2,5,189,5096,26.96,156,-143.91
Herlianska - Zelená Stráň,0.3,Actuated,0.2,5,189,632,3.34,31,77.05
Herlianska - Zelená Stráň,0.3,Static,0.2,6,189,5270,27.88,145,-166.79
Herlianska - Zelená Stráň,0.3,Actuated,0.2,6,189,903,4.78,41,75.78
Herlianska - Zelená Stráň,0.3,Static,0.2,7,189,5748,30.41,148,-204.18
Herlianska - Zelená Stráň,0.3,Actuated,0.2,7,189,615,3.25,36,80.16
Herlianska - Zelená Stráň,0.3,Static,0.2,8,189,5939,31.42,133,-208.67
Herlianska - Zelená Stráň,0.3,Actuated,0.2,8,189,495,2.62,33,81.22
Herlianska - Zelená Stráň,0.3,Static,0.2,9,189,5564,29.44,136,-175.54
Herlianska - Zelená Stráň,0.3,Actuated,0.2,9,189,637,3.37,26,84.77
Herlianska - Zelená Stráň,0.5,Static,0.2,0,189,5621,29.74,152,-192.11
Herlianska - Zelená Stráň,0.5,Actuated,0.2,0,189,622,3.29,27,78.55
Herlianska - Zelená Stráň,0.5,Static,0.2,1,189,5867,31.04,151,-198.38
Herlianska - Zelená Stráň,0.5,Actuated,0.2,1,189,670,3.54,31,79.93
Herlianska - Zelená Stráň,0.5,Static,0.2,2,189,5814,30.76,130,-187.86
Herlianska - Zelená Stráň,0.5,Actuated,0.2,2,189,563,2.98,37,81.88
Herlianska - Zelená Stráň,0.5,Static,0.2,3,189,5670,30.0,152,-201.64
Herlianska - Zelená Stráň,0.5,Actuated,0.2,3,189,728,3.85,39,74.24
Herlianska - Zelená Stráň,0.5,Static,0.2,4,189,5770,30.53,146,-189.88
Herlianska - Zelená Stráň,0.5,Actuated,0.2,4,189,673,3.56,74,74.28
Herlianska - Zelená Stráň,0.5,Static,0.2,5,189,5411,28.63,145,-172.31
Herlianska - Zelená Stráň,0.5,Actuated,0.2,5,189,608,3.22,41,77.15
Herlianska - Zelená Stráň,0.5,Static,0.2,6,189,6281,33.23,156,-233.03
Herlianska - Zelená Stráň,0.5,Actuated,0.2,6,189,694,3.67,33,80.28
Herlianska - Zelená Stráň,0.5,Static,0.2,7,189,5221,27.62,131,-158.34
Herlianska - Zelená Stráň,0.5,Actuated,0.2,7,189,826,4.37,33,76.01
Herlianska - Zelená Stráň,0.5,Static,0.2,8,189,5784,30.6,152,-193.92
Herlianska - Zelená Stráň,0.5,Actuated,0.2,8,189,801,4.24,67,71.1
Herlianska - Zelená Stráň,0.5,Static,0.2,9,189,5332,28.21,134,-166.32
Herlianska - Zelená Stráň,0.5,Actuated,0.2,9,189,644,3.41,33,84.57
Herlianska - Zelená Stráň,0.8,Static,0.2,0,189,5377,28.45,155,-179.66
Herlianska - Zelená Stráň,0.8,Actuated,0.2,0,189,594,3.14,29,83.57
Herlianska - Zelená Stráň,0.8,Static,0.2,1,189,5787,30.62,154,-191.13
Herlianska - Zelená Stráň,0.8,Actuated,0.2,1,189,1003,5.31,41,70.34
Herlianska - Zelená Stráň,0.8,Static,0.2,2,189,5055,26.75,133,-155.89
Herlianska - Zelená Stráň,0.8,Actuated,0.2,2,189,880,4.66,49,72.66
Herlianska - Zelená Stráň,0.8,Static,0.2,3,189,5730,30.32,133,-192.84
Herlianska - Zelená Stráň,0.8,Actuated,0.2,3,189,493,2.61,20,81.3
Herlianska - Zelená Stráň,0.8,Static,0.2,4,189,5947,31.47,154,-204.47
Herlianska - Zelená Stráň,0.8,Actuated,0.2,4,189,654,3.46,38,73.18
Herlianska - Zelená Stráň,0.8,Static,0.2,5,189,4783,25.31,147,-140.1
Herlianska - Zelená Stráň,0.8,Actuated,0.2,5,189,775,4.1,40,75.17
Herlianska - Zelená Stráň,0.8,Static,0.2,6,189,6283,33.24,133,-211.77
Herlianska - Zelená Stráň,0.8,Actuated,0.2,6,189,590,3.12,31,85.81
Herlianska - Zelená Stráň,0.8,Static,0.2,7,189,4967,26.28,132,-155.67
Herlianska - Zelená Stráň,0.8,Actuated,0.2,7,189,629,3.33,33,81.09
Herlianska - Zelená Stráň,0.8,Static,0.2,8,189,6046,31.99,154,-203.88
Herlianska - Zelená Stráň,0.8,Actuated,0.2,8,189,778,4.12,47,75.63
Herlianska - Zelená Stráň,0.8,Static,0.2,9,189,5600,29.63,134,-176.03
Herlianska - Zelená Stráň,0.8,Actuated,0.2,9,189,775,4.1,74,77.22
Herlianska - Zelená Stráň,0.3,Static,0.6,0,587,18618,31.72,155,-546.47
Herlianska - Zelená Stráň,0.3,Actuated,0.6,0,587,10603,18.06,144,-143.53
Herlianska - Zelená Stráň,0.3,Static,0.6,1,587,18244,31.08,156,-525.99
Herlianska - Zelená Stráň,0.3,Actuated,0.6,1,587,12027,20.49,134,-196.18
Herlianska - Zelená Stráň,0.3,Static,0.6,2,587,19237,32.77,153,-555.81
Herlianska - Zelená Stráň,0.3,Actuated,0.6,2,587,11680,19.9,130,-171.87
Herlianska - Zelená Stráň,0.3,Static,0.6,3,587,18395,31.34,144,-528.64
Herlianska - Zelená Stráň,0.3,Actuated,0.6,3,587,10592,18.04,112,-138.38
Herlianska - Zelená Stráň,0.3,Static,0.6,4,587,18544,31.59,148,-519.86
Herlianska - Zelená Stráň,0.3,Actuated,0.6,4,587,9983,17.01,126,-124.87
Herlianska - Zelená Stráň,0.3,Static,0.6,5,587,18680,31.82,146,-558.17
Herlianska - Zelená Stráň,0.3,Actuated,0.6,5,587,10149,17.29,119,-122.27
Herlianska - Zelená Stráň,0.3,Static,0.6,6,587,17325,29.51,139,-459.71
Herlianska - Zelená Stráň,0.3,Actuated,0.6,6,587,9553,16.27,131,-74.4
Herlianska - Zelená Stráň,0.3,Static,0.6,7,587,19751,33.65,151,-588.65
Herlianska - Zelená Stráň,0.3,Actuated,0.6,7,587,12562,21.4,161,-258.36
Herlianska - Zelená Stráň,0.3,Static,0.6,8,587,17221,29.34,150,-494.11
Herlianska - Zelená Stráň,0.3,Actuated,0.6,8,587,10429,17.77,123,-136.6
Herlianska - Zelená Stráň,0.3,Static,0.6,9,587,18507,31.53,155,-532.4
Herlianska - Zelená Stráň,0.3,Actuated,0.6,9,587,9947,16.95,126,-110.78
Herlianska - Zelená Stráň,0.5,Static,0.6,0,587,19302,32.88,152,-562.82
Herlianska - Zelená Stráň,0.5,Actuated,0.6,0,587,11385,19.4,131,-169.68
Herlianska - Zelená Stráň,0.5,Static,0.6,1,587,18568,31.63,150,-533.72
Herlianska - Zelená Stráň,0.5,Actuated,0.6,1,587,9999,17.03,193,-147.57
Herlianska - Zelená Stráň,0.5,Static,0.6,2,587,18761,31.96,154,-517.2
Herlianska - Zelená Stráň,0.5,Actuated,0.6,2,587,12014,20.47,151,-197.95
Herlianska - Zelená Stráň,0.5,Static,0.6,3,587,19372,33.0,152,-588.25
Herlianska - Zelená Stráň,0.5,Actuated,0.6,3,587,11609,19.78,148,-197.35
Herlianska - Zelená Stráň,0.5,Static,0.6,4,587,18752,31.95,148,-530.04
Herlianska - Zelená Stráň,0.5,Actuated,0.6,4,587,10544,17.96,132,-148.58
Herlianska - Zelená Stráň,0.5,Static,0.6,5,587,19266,32.82,151,-519.67
Herlianska - Zelená Stráň,0.5,Actuated,0.6,5,587,10039,17.1,121,-100.13
Herlianska - Zelená Stráň,0.5,Static,0.6,6,587,17273,29.43,156,-475.58
Herlianska - Zelená Stráň,0.5,Actuated,0.6,6,587,11859,20.2,120,-190.89
Herlianska - Zelená Stráň,0.5,Static,0.6,7,587,17381,29.61,152,-465.93
Herlianska - Zelená Stráň,0.5,Actuated,0.6,7,587,9554,16.28,116,-101.02
Herlianska - Zelená Stráň,0.5,Static,0.6,8,587,19924,33.94,151,-581.46
Herlianska - Zelená Stráň,0.5,Actuated,0.6,8,587,11210,19.1,130,-159.82
Herlianska - Zelená Stráň,0.5,Static,0.6,9,587,19259,32.81,147,-541.32
Herlianska - Zelená Stráň,0.5,Actuated,0.6,9,587,12525,21.34,157,-232.37
Herlianska - Zelená Stráň,0.8,Static,0.6,0,587,17906,30.5,151,-514.73
Herlianska - Zelená Stráň,0.8,Actuated,0.6,0,587,10020,17.07,114,-69.54
Herlianska - Zelená Stráň,0.8,Static,0.6,1,587,19773,33.68,146,-558.3
Herlianska - Zelená Stráň,0.8,Actuated,0.6,1,587,11250,19.17,154,-213.92
Herlianska - Zelená Stráň,0.8,Static,0.6,2,587,16935,28.85,153,-462.21
Herlianska - Zelená Stráň,0.8,Actuated,0.6,2,587,9638,16.42,102,-77.98
Herlianska - Zelená Stráň,0.8,Static,0.6,3,587,18375,31.3,148,-522.23
Herlianska - Zelená Stráň,0.8,Actuated,0.6,3,587,11218,19.11,135,-176.28
Herlianska - Zelená Stráň,0.8,Static,0.6,4,587,19416,33.08,153,-580.09
Herlianska - Zelená Stráň,0.8,Actuated,0.6,4,587,11108,18.92,142,-165.25
Herlianska - Zelená Stráň,0.8,Static,0.6,5,587,18673,31.81,149,-532.9
Herlianska - Zelená Stráň,0.8,Actuated,0.6,5,587,12374,21.08,178,-226.97
Herlianska - Zelená Stráň,0.8,Static,0.6,6,587,18718,31.89,148,-541.38
Herlianska - Zelená Stráň,0.8,Actuated,0.6,6,587,12790,21.79,153,-250.12
Herlianska - Zelená Stráň,0.8,Static,0.6,7,587,16450,28.02,155,-450.96
Herlianska - Zelená Stráň,0.8,Actuated,0.6,7,587,10355,17.64,127,-124.73
Herlianska - Zelená Stráň,0.8,Static,0.6,8,587,20129,34.29,153,-569.48
Herlianska - Zelená Stráň,0.8,Actuated,0.6,8,587,9638,16.42,133,-86.54
Herlianska - Zelená Stráň,0.8,Static,0.6,9,587,18244,31.08,152,-524.34
Herlianska - Zelená Stráň,0.8,Actuated,0.6,9,587,11634,19.82,139,-167.71
Herlianska - Zelená Stráň,0.3,Static,1.0,0,996,36684,36.83,163,-746.84
Herlianska - Zelená Stráň,0.3,Actuated,1.0,0,996,42575,42.75,198,-911.82
Herlianska - Zelená Stráň,0.3,Static,1.0,1,996,35051,35.19,205,-789.67
Herlianska - Zelená Stráň,0.3,Actuated,1.0,1,996,40216,40.38,192,-958.92
Herlianska - Zelená Stráň,0.3,Static,1.0,2,996,39915,40.08,157,-775.4
Herlianska - Zelená Stráň,0.3,Actuated,1.0,2,996,43528,43.7,191,-997.92
Herlianska - Zelená Stráň,0.3,Static,1.0,3,996,39949,40.11,291,-833.99
Herlianska - Zelená Stráň,0.3,Actuated,1.0,3,996,37966,38.12,194,-806.58
Herlianska - Zelená Stráň,0.3,Static,1.0,4,996,39328,39.49,339,-809.55
Herlianska - Zelená Stráň,0.3,Actuated,1.0,4,996,35445,35.59,186,-792.84
Herlianska - Zelená Stráň,0.3,Static,1.0,5,996,36948,37.1,265,-744.52
Herlianska - Zelená Stráň,0.3,Actuated,1.0,5,996,37732,37.88,190,-820.77
Herlianska - Zelená Stráň,0.3,Static,1.0,6,996,38366,38.52,204,-764.96
Herlianska - Zelená Stráň,0.3,Actuated,1.0,6,996,36750,36.9,194,-837.56
Herlianska - Zelená Stráň,0.3,Static,1.0,7,996,37813,37.96,151,-798.99
Herlianska - Zelená Stráň,0.3,Actuated,1.0,7,996,41451,41.62,188,-992.81
Herlianska - Zelená Stráň,0.3,Static,1.0,8,996,37969,38.12,205,-816.71
Herlianska - Zelená Stráň,0.3,Actuated,1.0,8,996,41750,41.92,192,-962.33
Herlianska - Zelená Stráň,0.3,Static,1.0,9,996,35261,35.4,156,-750.78
Herlianska - Zelená Stráň,0.3,Actuated,1.0,9,996,41358,41.52,188,-918.0
Herlianska - Zelená Stráň,0.5,Static,1.0,0,996,37409,37.56,221,-779.59
Herlianska - Zelená Stráň,0.5,Actuated,1.0,0,996,42303,42.47,188,-1007.96
Herlianska - Zelená Stráň,0.5,Static,1.0,1,996,35229,35.37,160,-754.24
Herlianska - Zelená Stráň,0.5,Actuated,1.0,1,996,37265,37.41,190,-816.79
Herlianska - Zelená Stráň,0.5,Static,1.0,2,996,38039,38.19,152,-819.36
Herlianska - Zelená Stráň,0.5,Actuated,1.0,2,996,37407,37.56,189,-815.62
Herlianska - Zelená Stráň,0.5,Static,1.0,3,995,38096,38.29,248,-846.11
Herlianska - Zelená Stráň,0.5,Actuated,1.0,3,996,36458,36.6,178,-855.39
Herlianska - Zelená Stráň,0.5,Static,1.0,4,996,35429,35.57,162,-737.83
Herlianska - Zelená Stráň,0.5,Actuated,1.0,4,996,39243,39.4,195,-816.86
Herlianska - Zelená Stráň,0.5,Static,1.0,5,996,36699,36.85,222,-753.82
Herlianska - Zelená Stráň,0.5,Actuated,1.0,5,996,37628,37.78,191,-795.83
Herlianska - Zelená Stráň,0.5,Static,1.0,6,986,35162,35.66,153,-786.37
Herlianska - Zelená Stráň,0.5,Actuated,1.0,6,996,38694,38.85,196,-861.47
Herlianska - Zelená Stráň,0.5,Static,1.0,7,996,37348,37.5,160,-751.03
Herlianska - Zelená Stráň,0.5,Actuated,1.0,7,996,46397,46.58,209,-978.74
Herlianska - Zelená Stráň,0.5,Static,1.0,8,996,35638,35.78,150,-783.27
Herlianska - Zelená Stráň,0.5,Actuated,1.0,8,994,37428,37.65,182,-812.07
Herlianska - Zelená Stráň,0.5,Static,1.0,9,996,37515,37.67,183,-763.11
Herlianska - Zelená Stráň,0.5,Actuated,1.0,9,996,34977,35.12,184,-775.45
Herlianska - Zelená Stráň,0.8,Static,1.0,0,996,37442,37.59,272,-798.48
Herlianska - Zelená Stráň,0.8,Actuated,1.0,0,996,42630,42.8,196,-1012.2
Herlianska - Zelená Stráň,0.8,Static,1.0,1,996,38080,38.23,166,-756.99
Herlianska - Zelená Stráň,0.8,Actuated,1.0,1,996,41654,41.82,198,-886.42
Herlianska - Zelená Stráň,0.8,Static,1.0,2,995,37926,38.12,194,-776.69
Herlianska - Zelená Stráň,0.8,Actuated,1.0,2,996,37504,37.65,199,-847.27
Herlianska - Zelená Stráň,0.8,Static,1.0,3,996,37196,37.35,221,-752.94
Herlianska - Zelená Stráň,0.8,Actuated,1.0,3,996,39424,39.58,203,-845.86
Herlianska - Zelená Stráň,0.8,Static,1.0,4,996,39470,39.63,289,-841.46
Herlianska - Zelená Stráň,0.8,Actuated,1.0,4,996,38521,38.68,193,-818.84
Herlianska - Zelená Stráň,0.8,Static,1.0,5,996,35707,35.85,162,-760.73
Herlianska - Zelená Stráň,0.8,Actuated,1.0,5,996,37520,37.67,187,-852.16
Herlianska - Zelená Stráň,0.8,Static,1.0,6,996,39424,39.58,289,-805.91
Herlianska - Zelená Stráň,0.8,Actuated,1.0,6,990,42468,42.9,189,-1007.38
Herlianska - Zelená Stráň,0.8,Static,1.0,7,996,36128,36.27,189,-751.28
Herlianska - Zelená Stráň,0.8,Actuated,1.0,7,996,39880,40.04,184,-864.91
Herlianska - Zelená Stráň,0.8,Static,1.0,8,996,36775,36.92,319,-754.77
