intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.2,0,189,4240,22.43,217,-16.01
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.2,1,189,7077,37.44,624,-107.11
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.2,2,189,4947,26.17,367,-79.38
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.2,3,189,5119,27.08,236,-63.07
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.2,4,189,5894,31.19,349,-148.69
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.2,5,189,4896,25.9,268,-23.78
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.2,6,189,4907,25.96,242,-48.18
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.2,7,189,5287,27.97,221,-75.24
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.2,8,189,4816,25.48,312,-70.75
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.2,9,189,5155,27.28,209,-39.71
Herlianska - Zelená Stráň,0.5,PPO_seed4,0.2,0,189,4509,23.86,308,-51.39
Herlianska - Zelená Stráň,0.5,PPO_seed4,0.2,1,189,4622,24.46,206,-45.11
Herlianska - Zelená Stráň,0.5,PPO_seed4,0.2,2,189,5879,31.11,289,-51.79
Herlianska - Zelená Stráň,0.5,PPO_seed4,0.2,3,189,5020,26.56,282,-86.17
Herlianska - Zelená Stráň,0.5,PPO_seed4,0.2,4,189,5436,28.76,250,-55.03
Herlianska - Zelená Stráň,0.5,PPO_seed4,0.2,5,189,5098,26.97,261,-100.52
Herlianska - Zelená Stráň,0.5,PPO_seed4,0.2,6,189,5199,27.51,205,-103.83
Herlianska - Zelená Stráň,0.5,PPO_seed4,0.2,7,189,5053,26.74,255,-56.93
Herlianska - Zelená Stráň,0.5,PPO_seed4,0.2,8,189,6628,35.07,232,-84.78
Herlianska - Zelená Stráň,0.5,PPO_seed4,0.2,9,189,4555,24.1,316,-62.57
Herlianska - Zelená Stráň,0.8,PPO_seed4,0.2,0,189,4312,22.81,275,-12.04
Herlianska - Zelená Stráň,0.8,PPO_seed4,0.2,1,189,4976,26.33,205,-38.22
Herlianska - Zelená Stráň,0.8,PPO_seed4,0.2,2,189,4523,23.93,223,-29.74
Herlianska - Zelená Stráň,0.8,PPO_seed4,0.2,3,189,4432,23.45,209,-53.96
Herlianska - Zelená Stráň,0.8,PPO_seed4,0.2,4,189,5229,27.67,347,-83.6
Herlianska - Zelená Stráň,0.8,PPO_seed4,0.2,5,189,6485,34.31,489,-80.61
Herlianska - Zelená Stráň,0.8,PPO_seed4,0.2,6,189,5910,31.27,285,-84.0
Herlianska - Zelená Stráň,0.8,PPO_seed4,0.2,7,189,6804,36.0,525,-212.12
Herlianska - Zelená Stráň,0.8,PPO_seed4,0.2,8,189,4699,24.86,288,-25.03
Herlianska - Zelená Stráň,0.8,PPO_seed4,0.2,9,189,5732,30.33,259,-94.77
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.6,0,587,16586,28.26,206,9.25
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.6,1,587,15312,26.09,167,-47.16
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.6,2,587,16990,28.94,163,8.44
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.6,3,587,14827,25.26,165,54.92
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.6,4,587,13861,23.61,155,43.12
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.6,5,587,15762,26.85,191,34.73
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.6,6,587,14285,24.34,151,12.19
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.6,7,587,17571,29.93,206,-44.43
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.6,8,587,13785,23.48,158,21.46
Herlianska - Zelená Stráň,0.3,PPO_seed4,0.6,9,587,13949,23.76,210,-6.16
Herlianska - Zelená Stráň,0.5,PPO_seed4,0.6,0,587,14800,25.21,175,9.51
Herlianska - Zelená Stráň,0.5,PPO_seed4,0.6,1,587,15620,26.61,224,-94.2
Herlianska - Zelená Stráň,0.5,PPO_seed4,0.6,2,587,15788,26.9,201,-36.22
