intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Jantárova - Palackého,0.3,PPO,0.2,0,170,7021,41.3,223,-27.51
Jantárova - Palackého,0.3,Static,0.2,0,170,4716,27.74,79,-98.78
Jantárova - Palackého,0.3,Actuated,0.2,0,170,2152,12.66,52,16.81
Jantárova - Palackého,0.3,PPO,0.2,1,170,6074,35.73,481,-15.67
Jantárova - Palackého,0.3,Static,0.2,1,170,4720,27.76,78,-95.24
Jantárova - Palackého,0.3,Actuated,0.2,1,170,1895,11.15,53,22.97
Jantárova - Palackého,0.3,PPO,0.2,2,170,7717,45.39,220,-29.54
Jantárova - Palackého,0.3,Static,0.2,2,170,4616,27.15,79,-92.39
Jantárova - Palackého,0.3,Actuated,0.2,2,170,1574,9.26,39,31.76
Jantárova - Palackého,0.3,PPO,0.2,3,170,6996,41.15,313,-31.45
Jantárova - Palackého,0.3,Static,0.2,3,170,4469,26.29,76,-90.1
Jantárova - Palackého,0.3,Actuated,0.2,3,170,1982,11.66,57,20.89
Jantárova - Palackého,0.3,PPO,0.2,4,170,6147,36.16,279,-32.61
Jantárova - Palackého,0.3,Static,0.2,4,170,4772,28.07,79,-92.51
Jantárova - Palackého,0.3,Actuated,0.2,4,170,2096,12.33,50,10.66
Jantárova - Palackého,0.3,PPO,0.2,5,170,7376,43.39,270,-25.96
Jantárova - Palackého,0.3,Static,0.2,5,170,4632,27.25,74,-95.47
Jantárova - Palackého,0.3,Actuated,0.2,5,170,2032,11.95,49,13.26
Jantárova - Palackého,0.3,PPO,0.2,6,170,6469,38.05,191,-38.4
Jantárova - Palackého,0.3,Static,0.2,6,170,5034,29.61,77,-106.44
Jantárova - Palackého,0.3,Actuated,0.2,6,170,1879,11.05,47,23.67
Jantárova - Palackého,0.3,PPO,0.2,7,170,6724,39.55,370,-11.62
Jantárova - Palackého,0.3,Static,0.2,7,170,4144,24.38,79,-70.74
Jantárova - Palackého,0.3,Actuated,0.2,7,170,2136,12.56,49,15.08
Jantárova - Palackého,0.3,PPO,0.2,8,170,6332,37.25,279,-41.61
Jantárova - Palackého,0.3,Static,0.2,8,170,4745,27.91,77,-99.01
Jantárova - Palackého,0.3,Actuated,0.2,8,170,2003,11.78,54,19.39
Jantárova - Palackého,0.3,PPO,0.2,9,170,6243,36.72,189,-33.88
Jantárova - Palackého,0.3,Static,0.2,9,170,4489,26.41,78,-85.81
Jantárova - Palackého,0.3,Actuated,0.2,9,170,1900,11.18,41,23.65
Jantárova - Palackého,0.5,PPO,0.2,0,170,7571,44.54,323,-34.87
Jantárova - Palackého,0.5,Static,0.2,0,170,4337,25.51,77,-83.22
Jantárova - Palackého,0.5,Actuated,0.2,0,170,2044,12.02,60,16.96
Jantárova - Palackého,0.5,PPO,0.2,1,170,6558,38.58,237,-15.59
