intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Jantárova - Palackého,0.3,PPO_seed10,0.2,0,170,7277,42.81,222,5.43
Jantárova - Palackého,0.3,PPO_seed10,0.2,1,170,5484,32.26,145,5.8
Jantárova - Palackého,0.3,PPO_seed10,0.2,2,170,5967,35.1,197,7.1
Jantárova - Palackého,0.3,PPO_seed10,0.2,3,170,5961,35.06,165,5.19
Jantárova - Palackého,0.3,PPO_seed10,0.2,4,170,5906,34.74,203,6.91
Jantárova - Palackého,0.3,PPO_seed10,0.2,5,170,5357,31.51,132,7.48
Jantárova - Palackého,0.3,PPO_seed10,0.2,6,170,6488,38.16,243,5.95
Jantárova - Palackého,0.3,PPO_seed10,0.2,7,170,6500,38.24,220,-2.59
Jantárova - Palackého,0.3,PPO_seed10,0.2,8,170,6145,36.15,177,3.24
Jantárova - Palackého,0.3,PPO_seed10,0.2,9,170,5488,32.28,161,8.41
Jantárova - Palackého,0.5,PPO_seed10,0.2,0,170,7392,43.48,152,6.57
Jantárova - Palackého,0.5,PPO_seed10,0.2,1,170,5768,33.93,203,7.2
Jantárova - Palackého,0.5,PPO_seed10,0.2,2,170,6558,38.58,192,6.6
Jantárova - Palackého,0.5,PPO_seed10,0.2,3,170,5859,34.46,223,-0.22
Jantárova - Palackého,0.5,PPO_seed10,0.2,4,170,5359,31.52,167,7.21
Jantárova - Palackého,0.5,PPO_seed10,0.2,5,170,5608,32.99,135,6.56
Jantárova - Palackého,0.5,PPO_seed10,0.2,6,170,7729,45.46,251,-0.12
Jantárova - Palackého,0.5,PPO_seed10,0.2,7,170,6512,38.31,187,5.58
Jantárova - Palackého,0.5,PPO_seed10,0.2,8,170,6208,36.52,138,3.1
Jantárova - Palackého,0.5,PPO_seed10,0.2,9,170,6752,39.72,263,4.7
Jantárova - Palackého,0.8,PPO_seed10,0.2,0,170,6640,39.06,134,5.47
Jantárova - Palackého,0.8,PPO_seed10,0.2,1,170,7036,41.39,195,-1.26
Jantárova - Palackého,0.8,PPO_seed10,0.2,2,170,5956,35.04,158,3.46
Jantárova - Palackého,0.8,PPO_seed10,0.2,3,170,5890,34.65,162,2.81
Jantárova - Palackého,0.8,PPO_seed10,0.2,4,170,6130,36.06,128,7.2
Jantárova - Palackého,0.8,PPO_seed10,0.2,5,170,5443,32.02,119,4.86
Jantárova - Palackého,0.8,PPO_seed10,0.2,6,170,5531,32.54,193,3.02
Jantárova - Palackého,0.8,PPO_seed10,0.2,7,170,6994,41.14,192,6.57
Jantárova - Palackého,0.8,PPO_seed10,0.2,8,170,6599,38.82,262,5.77
Jantárova - Palackého,0.8,PPO_seed10,0.2,9,170,6229,36.64,159,7.01
Jantárova - Palackého,0.3,PPO_seed10,0.6,0,536,21889,40.84,204,11.59
Jantárova - Palackého,0.3,PPO_seed10,0.6,1,536,22017,41.08,203,8.15
Jantárova - Palackého,0.3,PPO_seed10,0.6,2,536,22623,42.21,231,13.76
Jantárova - Palackého,0.3,PPO_seed10,0.6,3,536,21110,39.38,174,14.38
Jantárova - Palackého,0.3,PPO_seed10,0.6,4,536,25522,47.62,316,8.78
Jantárova - Palackého,0.3,PPO_seed10,0.6,5,536,25282,47.17,214,11.38
Jantárova - Palackého,0.3,PPO_seed10,0.6,6,536,22419,41.83,218,13.21
Jantárova - Palackého,0.3,PPO_seed10,0.6,7,536,24866,46.39,192,11.52
Jantárova - Palackého,0.3,PPO_seed10,0.6,8,536,22521,42.02,199,15.98
Jantárova - Palackého,0.3,PPO_seed10,0.6,9,536,22132,41.29,231,4.92
Jantárova - Palackého,0.5,PPO_seed10,0.6,0,536,22208,41.43,244,10.19
Jantárova - Palackého,0.5,PPO_seed10,0.6,1,536,26242,48.96,250,12.76
Jantárova - Palackého,0.5,PPO_seed10,0.6,2,536,25767,48.07,275,28.73
Jantárova - Palackého,0.5,PPO_seed10,0.6,3,536,23186,43.26,212,19.71
Jantárova - Palackého,0.5,PPO_seed10,0.6,4,536,27699,51.68,256,19.24
Jantárova - Palackého,0.5,PPO_seed10,0.6,5,536,22535,42.04,220,12.4
Jantárova - Palackého,0.5,PPO_seed10,0.6,6,536,26355,49.17,287,10.52
Jantárova - Palackého,0.5,PPO_seed10,0.6,7,536,23873,44.54,203,19.34
Jantárova - Palackého,0.5,PPO_seed10,0.6,8,536,27184,50.72,255,19.54
