intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
LuST - -3976 (Luxembourg),0.3,Static,0.2,0,265,3094,11.68,44,-20.34
LuST - -3976 (Luxembourg),0.3,Actuated,0.2,0,265,888,3.35,29,82.04
LuST - -3976 (Luxembourg),0.3,Static,0.2,1,265,3169,11.96,47,-26.23
LuST - -3976 (Luxembourg),0.3,Actuated,0.2,1,265,719,2.71,16,98.44
LuST - -3976 (Luxembourg),0.3,Static,0.2,2,265,3342,12.61,47,-38.57
LuST - -3976 (Luxembourg),0.3,Actuated,0.2,2,265,818,3.09,20,89.74
LuST - -3976 (Luxembourg),0.3,Static,0.2,3,265,3241,12.23,50,-31.47
LuST - -3976 (Luxembourg),0.3,Actuated,0.2,3,265,812,3.06,17,83.43
LuST - -3976 (Luxembourg),0.3,Static,0.2,4,265,3125,11.79,47,-22.64
LuST - -3976 (Luxembourg),0.3,Actuated,0.2,4,265,843,3.18,29,92.7
LuST - -3976 (Luxembourg),0.3,Static,0.2,5,265,3098,11.69,45,-19.75
LuST - -3976 (Luxembourg),0.3,Actuated,0.2,5,265,946,3.57,25,84.93
LuST - -3976 (Luxembourg),0.3,Static,0.2,6,265,3161,11.93,52,-28.01
LuST - -3976 (Luxembourg),0.3,Actuated,0.2,6,265,797,3.01,17,88.56
LuST - -3976 (Luxembourg),0.3,Static,0.2,7,265,3202,12.08,49,-28.62
LuST - -3976 (Luxembourg),0.3,Actuated,0.2,7,265,928,3.5,23,85.16
LuST - -3976 (Luxembourg),0.3,Static,0.2,8,265,3215,12.13,52,-26.01
LuST - -3976 (Luxembourg),0.3,Actuated,0.2,8,265,815,3.08,29,90.93
LuST - -3976 (Luxembourg),0.3,Static,0.2,9,265,3187,12.03,48,-28.22
LuST - -3976 (Luxembourg),0.3,Actuated,0.2,9,265,968,3.65,31,82.77
LuST - -3976 (Luxembourg),0.5,Static,0.2,0,265,3167,11.95,45,-26.29
LuST - -3976 (Luxembourg),0.5,Actuated,0.2,0,265,907,3.42,28,88.33
LuST - -3976 (Luxembourg),0.5,Static,0.2,1,265,3104,11.71,45,-19.6
LuST - -3976 (Luxembourg),0.5,Actuated,0.2,1,265,882,3.33,30,90.27
LuST - -3976 (Luxembourg),0.5,Static,0.2,2,265,3268,12.33,50,-31.04
LuST - -3976 (Luxembourg),0.5,Actuated,0.2,2,265,809,3.05,26,91.53
LuST - -3976 (Luxembourg),0.5,Static,0.2,3,265,3249,12.26,45,-35.46
LuST - -3976 (Luxembourg),0.5,Actuated,0.2,3,265,902,3.4,20,90.07
LuST - -3976 (Luxembourg),0.5,Static,0.2,4,265,3371,12.72,45,-33.99
LuST - -3976 (Luxembourg),0.5,Actuated,0.2,4,265,841,3.17,29,92.1
LuST - -3976 (Luxembourg),0.5,Static,0.2,5,265,3148,11.88,46,-22.07
LuST - -3976 (Luxembourg),0.5,Actuated,0.2,5,265,832,3.14,20,90.46
LuST - -3976 (Luxembourg),0.5,Static,0.2,6,265,3078,11.62,47,-23.0
LuST - -3976 (Luxembourg),0.5,Actuated,0.2,6,265,855,3.23,26,86.74
LuST - -3976 (Luxembourg),0.5,Static,0.2,7,265,3144,11.86,55,-20.27
LuST - -3976 (Luxembourg),0.5,Actuated,0.2,7,265,799,3.02,22,93.2
LuST - -3976 (Luxembourg),0.5,Static,0.2,8,265,3177,11.99,51,-24.02
LuST - -3976 (Luxembourg),0.5,Actuated,0.2,8,265,691,2.61,13,95.58
LuST - -3976 (Luxembourg),0.5,Static,0.2,9,265,3046,11.49,47,-18.34
LuST - -3976 (Luxembourg),0.5,Actuated,0.2,9,265,788,2.97,22,90.69
LuST - -3976 (Luxembourg),0.8,Static,0.2,0,265,3154,11.9,50,-26.64
LuST - -3976 (Luxembourg),0.8,Actuated,0.2,0,265,850,3.21,24,86.39
LuST - -3976 (Luxembourg),0.8,Static,0.2,1,265,3224,12.17,50,-27.96
LuST - -3976 (Luxembourg),0.8,Actuated,0.2,1,265,919,3.47,32,87.89
LuST - -3976 (Luxembourg),0.8,Static,0.2,2,265,3201,12.08,47,-24.75
LuST - -3976 (Luxembourg),0.8,Actuated,0.2,2,265,977,3.69,28,85.07
LuST - -3976 (Luxembourg),0.8,Static,0.2,3,265,3353,12.65,47,-44.63
LuST - -3976 (Luxembourg),0.8,Actuated,0.2,3,265,914,3.45,18,86.31
LuST - -3976 (Luxembourg),0.8,Static,0.2,4,265,3158,11.92,44,-25.99
LuST - -3976 (Luxembourg),0.8,Actuated,0.2,4,265,887,3.35,32,91.34
LuST - -3976 (Luxembourg),0.8,Static,0.2,5,265,3186,12.02,49,-26.49
LuST - -3976 (Luxembourg),0.8,Actuated,0.2,5,265,887,3.35,23,88.11
LuST - -3976 (Luxembourg),0.8,Static,0.2,6,265,3012,11.37,45,-14.57
LuST - -3976 (Luxembourg),0.8,Actuated,0.2,6,265,992,3.74,25,92.16
LuST - -3976 (Luxembourg),0.8,Static,0.2,7,265,3182,12.01,46,-25.71
LuST - -3976 (Luxembourg),0.8,Actuated,0.2,7,265,835,3.15,20,94.64
LuST - -3976 (Luxembourg),0.8,Static,0.2,8,265,3154,11.9,48,-25.29
LuST - -3976 (Luxembourg),0.8,Actuated,0.2,8,265,876,3.31,24,84.17
LuST - -3976 (Luxembourg),0.8,Static,0.2,9,265,3202,12.08,48,-27.96
LuST - -3976 (Luxembourg),0.8,Actuated,0.2,9,265,845,3.19,17,90.55
LuST - -3976 (Luxembourg),0.3,Static,0.6,0,791,18966,23.98,214,-393.64
LuST - -3976 (Luxembourg),0.3,Actuated,0.6,0,793,8244,10.4,92,-53.61
LuST - -3976 (Luxembourg),0.3,Static,0.6,1,793,18230,22.99,215,-354.39
LuST - -3976 (Luxembourg),0.3,Actuated,0.6,1,793,7424,9.36,85,-1.94
LuST - -3976 (Luxembourg),0.3,Static,0.6,2,784,17373,22.16,219,-362.94
LuST - -3976 (Luxembourg),0.3,Actuated,0.6,2,793,7607,9.59,84,-48.69
LuST - -3976 (Luxembourg),0.3,Static,0.6,3,792,18526,23.39,212,-374.91
LuST - -3976 (Luxembourg),0.3,Actuated,0.6,3,793,7865,9.92,91,-47.57
LuST - -3976 (Luxembourg),0.3,Static,0.6,4,793,17631,22.23,215,-337.39
LuST - -3976 (Luxembourg),0.3,Actuated,0.6,4,793,7196,9.07,86,15.96
LuST - -3976 (Luxembourg),0.3,Static,0.6,5,790,18872,23.89,220,-382.99
LuST - -3976 (Luxembourg),0.3,Actuated,0.6,5,793,7874,9.93,82,-56.36
LuST - -3976 (Luxembourg),0.3,Static,0.6,6,793,16660,21.01,219,-305.99
LuST - -3976 (Luxembourg),0.3,Actuated,0.6,6,793,6648,8.38,84,8.84
LuST - -3976 (Luxembourg),0.3,Static,0.6,7,793,18661,23.53,218,-370.2
LuST - -3976 (Luxembourg),0.3,Actuated,0.6,7,793,9154,11.54,93,-69.8
