intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.2,0,0,0,0,0,0.0
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.2,0,265,3151,11.89,60,-31.25
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.2,1,265,3628,13.69,82,-64.41
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.2,2,265,3362,12.69,57,-43.05
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.2,3,265,3556,13.42,58,-51.29
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.2,4,265,3757,14.18,62,-70.76
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.2,5,265,3527,13.31,57,-60.18
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.2,6,265,3893,14.69,58,-67.93
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.2,7,265,3583,13.52,51,-61.16
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.2,8,265,3268,12.33,55,-40.89
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.2,9,265,3435,12.96,57,-44.39
LuST - -3976 (Luxembourg),0.5,PPO_seed6,0.2,0,265,3583,13.52,62,-62.62
LuST - -3976 (Luxembourg),0.5,PPO_seed6,0.2,1,265,3397,12.82,43,-30.64
LuST - -3976 (Luxembourg),0.5,PPO_seed6,0.2,2,265,3443,12.99,49,-57.71
LuST - -3976 (Luxembourg),0.5,PPO_seed6,0.2,3,265,3607,13.61,60,-60.01
LuST - -3976 (Luxembourg),0.5,PPO_seed6,0.2,4,265,3605,13.6,59,-57.26
LuST - -3976 (Luxembourg),0.5,PPO_seed6,0.2,5,265,3290,12.42,54,-48.73
LuST - -3976 (Luxembourg),0.5,PPO_seed6,0.2,6,265,3200,12.08,61,-36.98
LuST - -3976 (Luxembourg),0.5,PPO_seed6,0.2,7,265,3386,12.78,40,-34.06
LuST - -3976 (Luxembourg),0.5,PPO_seed6,0.2,8,265,3773,14.24,59,-62.9
LuST - -3976 (Luxembourg),0.5,PPO_seed6,0.2,9,265,3778,14.26,61,-72.39
LuST - -3976 (Luxembourg),0.8,PPO_seed6,0.2,0,265,3727,14.06,58,-61.8
LuST - -3976 (Luxembourg),0.8,PPO_seed6,0.2,1,265,3740,14.11,78,-66.4
LuST - -3976 (Luxembourg),0.8,PPO_seed6,0.2,2,265,3255,12.28,48,-43.12
LuST - -3976 (Luxembourg),0.8,PPO_seed6,0.2,3,265,3652,13.78,72,-57.93
LuST - -3976 (Luxembourg),0.8,PPO_seed6,0.2,4,265,3488,13.16,60,-46.87
LuST - -3976 (Luxembourg),0.8,PPO_seed6,0.2,5,265,3339,12.6,55,-43.42
LuST - -3976 (Luxembourg),0.8,PPO_seed6,0.2,6,265,3629,13.69,50,-62.17
LuST - -3976 (Luxembourg),0.8,PPO_seed6,0.2,7,265,3405,12.85,49,-39.19
LuST - -3976 (Luxembourg),0.8,PPO_seed6,0.2,8,265,3190,12.04,49,-32.67
LuST - -3976 (Luxembourg),0.8,PPO_seed6,0.2,9,265,3625,13.68,45,-51.93
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.6,0,793,11369,14.34,60,-75.38
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.6,1,793,11055,13.94,57,-49.27
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.6,2,793,12070,15.22,63,-120.82
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.6,3,792,11960,15.1,77,-104.05
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.6,4,793,12547,15.82,64,-112.21
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.6,5,793,11358,14.32,60,-84.74
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.6,6,793,10318,13.01,76,-74.9
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.6,7,793,11494,14.49,64,-92.72
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.6,8,793,11827,14.91,75,-134.53
LuST - -3976 (Luxembourg),0.3,PPO_seed6,0.6,9,793,9874,12.45,67,-54.15
LuST - -3976 (Luxembourg),0.5,PPO_seed6,0.6,0,793,11881,14.98,52,-109.15
LuST - -3976 (Luxembourg),0.5,PPO_seed6,0.6,1,793,10800,13.62,71,-75.93
