intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Monaco - 134872 (MoST),0.3,Static,0.2,0,127,2691,21.19,57,-11.14
Monaco - 134872 (MoST),0.3,Actuated,0.2,0,127,750,5.91,50,71.69
Monaco - 134872 (MoST),0.3,Static,0.2,1,127,3094,24.36,58,-23.01
Monaco - 134872 (MoST),0.3,Actuated,0.2,1,127,503,3.96,45,91.39
Monaco - 134872 (MoST),0.3,Static,0.2,2,127,3092,24.35,60,-35.88
Monaco - 134872 (MoST),0.3,Actuated,0.2,2,127,569,4.48,23,83.6
Monaco - 134872 (MoST),0.3,Static,0.2,3,127,2789,21.96,60,-22.23
Monaco - 134872 (MoST),0.3,Actuated,0.2,3,127,750,5.91,43,71.52
Monaco - 134872 (MoST),0.3,Static,0.2,4,127,2600,20.47,58,-12.71
Monaco - 134872 (MoST),0.3,Actuated,0.2,4,127,443,3.49,25,88.92
Monaco - 134872 (MoST),0.3,Static,0.2,5,127,3195,25.16,59,-32.24
Monaco - 134872 (MoST),0.3,Actuated,0.2,5,127,601,4.73,73,85.38
Monaco - 134872 (MoST),0.3,Static,0.2,6,127,3007,23.68,61,-39.16
Monaco - 134872 (MoST),0.3,Actuated,0.2,6,127,701,5.52,39,81.56
Monaco - 134872 (MoST),0.3,Static,0.2,7,127,3099,24.4,57,-36.8
Monaco - 134872 (MoST),0.3,Actuated,0.2,7,127,587,4.62,37,81.18
Monaco - 134872 (MoST),0.3,Static,0.2,8,127,2782,21.91,56,-20.36
Monaco - 134872 (MoST),0.3,Actuated,0.2,8,127,455,3.58,29,86.0
Monaco - 134872 (MoST),0.3,Static,0.2,9,127,2865,22.56,58,-19.73
Monaco - 134872 (MoST),0.3,Actuated,0.2,9,127,830,6.54,48,77.78
Monaco - 134872 (MoST),0.5,Static,0.2,0,127,2798,22.03,59,-27.82
Monaco - 134872 (MoST),0.5,Actuated,0.2,0,127,546,4.3,44,84.69
Monaco - 134872 (MoST),0.5,Static,0.2,1,127,3495,27.52,59,-57.39
Monaco - 134872 (MoST),0.5,Actuated,0.2,1,127,534,4.2,27,90.9
Monaco - 134872 (MoST),0.5,Static,0.2,2,127,2913,22.94,65,-26.96
Monaco - 134872 (MoST),0.5,Actuated,0.2,2,127,674,5.31,42,83.03
Monaco - 134872 (MoST),0.5,Static,0.2,3,127,2890,22.76,58,-16.55
Monaco - 134872 (MoST),0.5,Actuated,0.2,3,127,647,5.09,40,85.71
Monaco - 134872 (MoST),0.5,Static,0.2,4,127,2551,20.09,56,-2.83
Monaco - 134872 (MoST),0.5,Actuated,0.2,4,127,573,4.51,35,83.48
Monaco - 134872 (MoST),0.5,Static,0.2,5,127,3489,27.47,57,-52.79
Monaco - 134872 (MoST),0.5,Actuated,0.2,5,127,628,4.94,41,82.12
Monaco - 134872 (MoST),0.5,Static,0.2,6,127,3377,26.59,56,-40.99
Monaco - 134872 (MoST),0.5,Actuated,0.2,6,127,675,5.31,33,83.67
Monaco - 134872 (MoST),0.5,Static,0.2,7,127,3061,24.1,58,-32.78
Monaco - 134872 (MoST),0.5,Actuated,0.2,7,127,617,4.86,50,76.1
Monaco - 134872 (MoST),0.5,Static,0.2,8,127,2520,19.84,55,-11.11
Monaco - 134872 (MoST),0.5,Actuated,0.2,8,127,463,3.65,26,85.77
Monaco - 134872 (MoST),0.5,Static,0.2,9,127,2796,22.02,58,-20.23
Monaco - 134872 (MoST),0.5,Actuated,0.2,9,127,754,5.94,47,77.3
Monaco - 134872 (MoST),0.8,Static,0.2,0,127,2675,21.06,59,-23.64
Monaco - 134872 (MoST),0.8,Actuated,0.2,0,127,468,3.69,37,86.55
Monaco - 134872 (MoST),0.8,Static,0.2,1,127,2723,21.44,57,-18.9
Monaco - 134872 (MoST),0.8,Actuated,0.2,1,127,515,4.06,55,82.42
Monaco - 134872 (MoST),0.8,Static,0.2,2,127,3199,25.19,55,-43.68
Monaco - 134872 (MoST),0.8,Actuated,0.2,2,127,595,4.69,40,78.62
Monaco - 134872 (MoST),0.8,Static,0.2,3,127,2794,22.0,66,-15.89
Monaco - 134872 (MoST),0.8,Actuated,0.2,3,127,772,6.08,50,76.23
Monaco - 134872 (MoST),0.8,Static,0.2,4,127,2793,21.99,57,-31.71
Monaco - 134872 (MoST),0.8,Actuated,0.2,4,127,377,2.97,24,97.01
Monaco - 134872 (MoST),0.8,Static,0.2,5,127,2748,21.64,64,-35.96
Monaco - 134872 (MoST),0.8,Actuated,0.2,5,127,577,4.54,33,73.94
Monaco - 134872 (MoST),0.8,Static,0.2,6,127,2967,23.36,55,-36.19
Monaco - 134872 (MoST),0.8,Actuated,0.2,6,127,546,4.3,35,88.39
Monaco - 134872 (MoST),0.8,Static,0.2,7,127,2479,19.52,58,2.58
Monaco - 134872 (MoST),0.8,Actuated,0.2,7,127,586,4.61,49,84.78
Monaco - 134872 (MoST),0.8,Static,0.2,8,127,3156,24.85,61,-36.42
Monaco - 134872 (MoST),0.8,Actuated,0.2,8,127,554,4.36,46,84.94
Monaco - 134872 (MoST),0.8,Static,0.2,9,127,3052,24.03,62,-45.15
Monaco - 134872 (MoST),0.8,Actuated,0.2,9,127,593,4.67,47,77.26
Monaco - 134872 (MoST),0.3,Static,0.6,0,384,12638,32.91,121,-174.42
Monaco - 134872 (MoST),0.3,Actuated,0.6,0,384,10684,27.82,98,-179.17
Monaco - 134872 (MoST),0.3,Static,0.6,1,384,16694,43.47,161,-331.28
Monaco - 134872 (MoST),0.3,Actuated,0.6,1,384,10819,28.17,102,-177.65
Monaco - 134872 (MoST),0.3,Static,0.6,2,384,14654,38.16,152,-257.84
Monaco - 134872 (MoST),0.3,Actuated,0.6,2,384,11054,28.79,108,-172.8
Monaco - 134872 (MoST),0.3,Static,0.6,3,384,15992,41.65,164,-319.7
Monaco - 134872 (MoST),0.3,Actuated,0.6,3,384,12349,32.16,118,-220.75
Monaco - 134872 (MoST),0.3,Static,0.6,4,384,16938,44.11,125,-349.88
Monaco - 134872 (MoST),0.3,Actuated,0.6,4,384,13077,34.05,134,-271.48
Monaco - 134872 (MoST),0.3,Static,0.6,5,384,13200,34.38,117,-202.54
Monaco - 134872 (MoST),0.3,Actuated,0.6,5,384,10572,27.53,104,-150.84
Monaco - 134872 (MoST),0.3,Static,0.6,6,384,14539,37.86,117,-249.59
Monaco - 134872 (MoST),0.3,Actuated,0.6,6,384,9393,24.46,104,-108.12
Monaco - 134872 (MoST),0.3,Static,0.6,7,384,13171,34.3,116,-191.49
Monaco - 134872 (MoST),0.3,Actuated,0.6,7,384,10448,27.21,104,-165.8
Monaco - 134872 (MoST),0.3,Static,0.6,8,384,13316,34.68,111,-192.18
Monaco - 134872 (MoST),0.3,Actuated,0.6,8,384,10323,26.88,104,-165.5
Monaco - 134872 (MoST),0.3,Static,0.6,9,384,17137,44.63,167,-354.16
Monaco - 134872 (MoST),0.3,Actuated,0.6,9,384,8363,21.78,81,-67.02
Monaco - 134872 (MoST),0.5,Static,0.6,0,384,20527,53.46,194,-488.65
Monaco - 134872 (MoST),0.5,Actuated,0.6,0,384,11608,30.23,100,-165.44
Monaco - 134872 (MoST),0.5,Static,0.6,1,384,14205,36.99,126,-243.89
Monaco - 134872 (MoST),0.5,Actuated,0.6,1,384,9800,25.52,91,-126.4
Monaco - 134872 (MoST),0.5,Static,0.6,2,384,15824,41.21,152,-318.93
Monaco - 134872 (MoST),0.5,Actuated,0.6,2,384,11047,28.77,104,-165.28
Monaco - 134872 (MoST),0.5,Static,0.6,3,384,14504,37.77,112,-225.78
Monaco - 134872 (MoST),0.5,Actuated,0.6,3,384,12518,32.6,108,-261.21
Monaco - 134872 (MoST),0.5,Static,0.6,4,384,14582,37.97,121,-234.56
Monaco - 134872 (MoST),0.5,Actuated,0.6,4,384,8758,22.81,99,-88.4
Monaco - 134872 (MoST),0.5,Static,0.6,5,384,17584,45.79,120,-316.93
Monaco - 134872 (MoST),0.5,Actuated,0.6,5,384,12838,33.43,104,-241.78
Monaco - 134872 (MoST),0.5,Static,0.6,6,384,14970,38.98,115,-281.08
Monaco - 134872 (MoST),0.5,Actuated,0.6,6,384,10160,26.46,105,-140.71
Monaco - 134872 (MoST),0.5,Static,0.6,7,384,23946,62.36,202,-550.31
Monaco - 134872 (MoST),0.5,Actuated,0.6,7,384,12513,32.59,163,-213.44
Monaco - 134872 (MoST),0.5,Static,0.6,8,384,17971,46.8,160,-369.28
Monaco - 134872 (MoST),0.5,Actuated,0.6,8,384,12464,32.46,108,-246.45
Monaco - 134872 (MoST),0.5,Static,0.6,9,384,14263,37.14,116,-241.09
Monaco - 134872 (MoST),0.5,Actuated,0.6,9,384,9415,24.52,84,-120.33
Monaco - 134872 (MoST),0.8,Static,0.6,0,384,13664,35.58,110,-218.29
Monaco - 134872 (MoST),0.8,Actuated,0.6,0,384,9309,24.24,97,-92.8
Monaco - 134872 (MoST),0.8,Static,0.6,1,384,15319,39.89,142,-294.63
Monaco - 134872 (MoST),0.8,Actuated,0.6,1,384,9461,24.64,92,-100.44
Monaco - 134872 (MoST),0.8,Static,0.6,2,384,14388,37.47,137,-234.86
