intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Monaco - 134872 (MoST),0.3,PPO_seed9,0.2,0,127,4388,34.55,199,-134.69
Monaco - 134872 (MoST),0.3,PPO_seed9,0.2,1,127,1222,9.62,29,102.31
Monaco - 134872 (MoST),0.3,PPO_seed9,0.2,2,127,986,7.76,27,110.83
Monaco - 134872 (MoST),0.3,PPO_seed9,0.2,3,127,1215,9.57,33,96.3
Monaco - 134872 (MoST),0.3,PPO_seed9,0.2,4,127,1063,8.37,29,114.11
Monaco - 134872 (MoST),0.3,PPO_seed9,0.2,5,127,1158,9.12,32,106.9
Monaco - 134872 (MoST),0.3,PPO_seed9,0.2,6,127,1390,10.94,42,90.55
Monaco - 134872 (MoST),0.3,PPO_seed9,0.2,7,127,1152,9.07,26,109.41
Monaco - 134872 (MoST),0.3,PPO_seed9,0.2,8,127,1154,9.09,31,107.64
Monaco - 134872 (MoST),0.3,PPO_seed9,0.2,9,127,1269,9.99,36,99.03
Monaco - 134872 (MoST),0.5,PPO_seed9,0.2,0,127,1034,8.14,32,114.48
Monaco - 134872 (MoST),0.5,PPO_seed9,0.2,1,127,1193,9.39,28,108.45
Monaco - 134872 (MoST),0.5,PPO_seed9,0.2,2,127,3717,29.27,176,-109.32
Monaco - 134872 (MoST),0.5,PPO_seed9,0.2,3,127,3519,27.71,182,-68.68
Monaco - 134872 (MoST),0.5,PPO_seed9,0.2,4,127,6006,47.29,295,-221.61
Monaco - 134872 (MoST),0.5,PPO_seed9,0.2,5,127,3861,30.4,175,-100.26
Monaco - 134872 (MoST),0.5,PPO_seed9,0.2,6,127,3179,25.03,124,-58.99
Monaco - 134872 (MoST),0.5,PPO_seed9,0.2,7,127,4616,36.35,186,-124.11
Monaco - 134872 (MoST),0.5,PPO_seed9,0.2,8,127,4244,33.42,125,-122.36
Monaco - 134872 (MoST),0.5,PPO_seed9,0.2,9,127,4394,34.6,247,-137.41
Monaco - 134872 (MoST),0.8,PPO_seed9,0.2,0,127,5311,41.82,306,-183.97
Monaco - 134872 (MoST),0.8,PPO_seed9,0.2,1,127,4096,32.25,301,-124.47
Monaco - 134872 (MoST),0.8,PPO_seed9,0.2,2,127,3933,30.97,202,-105.68
Monaco - 134872 (MoST),0.8,PPO_seed9,0.2,3,127,5998,47.23,243,-251.33
Monaco - 134872 (MoST),0.8,PPO_seed9,0.2,4,127,3192,25.13,154,-75.15
Monaco - 134872 (MoST),0.8,PPO_seed9,0.2,5,127,3378,26.6,115,-76.09
Monaco - 134872 (MoST),0.8,PPO_seed9,0.2,6,127,3356,26.43,141,-77.73
Monaco - 134872 (MoST),0.8,PPO_seed9,0.2,7,127,5446,42.88,270,-203.23
Monaco - 134872 (MoST),0.8,PPO_seed9,0.2,8,127,1330,10.47,29,105.59
Monaco - 134872 (MoST),0.8,PPO_seed9,0.2,9,127,1268,9.98,28,104.31
Monaco - 134872 (MoST),0.3,PPO_seed9,0.6,0,384,4936,12.85,48,100.44
Monaco - 134872 (MoST),0.3,PPO_seed9,0.6,1,384,5569,14.5,73,58.43
Monaco - 134872 (MoST),0.3,PPO_seed9,0.6,2,384,20146,52.46,273,-446.67
Monaco - 134872 (MoST),0.3,PPO_seed9,0.6,3,384,5198,13.54,56,86.2
Monaco - 134872 (MoST),0.3,PPO_seed9,0.6,4,384,12635,32.9,228,-176.64
Monaco - 134872 (MoST),0.3,PPO_seed9,0.6,5,384,18467,48.09,235,-257.37
Monaco - 134872 (MoST),0.3,PPO_seed9,0.6,6,384,18670,48.62,186,-270.0
Monaco - 134872 (MoST),0.3,PPO_seed9,0.6,7,384,21548,56.11,228,-425.02
Monaco - 134872 (MoST),0.3,PPO_seed9,0.6,8,384,31662,82.45,281,-581.11
