intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Toryská - Trieda SNP,0.3,PPO,0.2,0,162,11421,70.5,1842,-144.63
Toryská - Trieda SNP,0.3,Static,0.2,0,152,32573,214.3,1898,-1329.82
Toryská - Trieda SNP,0.3,Actuated,0.2,0,152,32327,212.68,1898,-1362.48
Toryská - Trieda SNP,0.3,PPO,0.2,1,162,9134,56.38,1510,-63.74
Toryská - Trieda SNP,0.3,Static,0.2,1,153,36942,241.45,1901,-1472.76
Toryská - Trieda SNP,0.3,Actuated,0.2,1,153,35846,234.29,1901,-1477.75
Toryská - Trieda SNP,0.3,PPO,0.2,2,162,7953,49.09,1470,-62.03
Toryská - Trieda SNP,0.3,Static,0.2,2,151,33301,220.54,1875,-1395.73
Toryská - Trieda SNP,0.3,Actuated,0.2,2,151,32628,216.08,1867,-1421.74
Toryská - Trieda SNP,0.3,PPO,0.2,3,162,9795,60.46,1801,-60.37
Toryská - Trieda SNP,0.3,Static,0.2,3,152,32923,216.6,1964,-1353.52
Toryská - Trieda SNP,0.3,Actuated,0.2,3,152,32051,210.86,1956,-1347.38
Toryská - Trieda SNP,0.3,PPO,0.2,4,162,9247,57.08,1881,-98.22
Toryská - Trieda SNP,0.3,Static,0.2,4,151,34121,225.97,1898,-1371.07
Toryská - Trieda SNP,0.3,Actuated,0.2,4,151,33809,223.9,1898,-1347.6
Toryská - Trieda SNP,0.3,PPO,0.2,5,162,11941,73.71,1632,-184.57
Toryská - Trieda SNP,0.3,Static,0.2,5,152,31862,209.62,1808,-1262.24
Toryská - Trieda SNP,0.3,Actuated,0.2,5,152,31226,205.43,1808,-1236.22
Toryská - Trieda SNP,0.3,PPO,0.2,6,162,9358,57.77,1621,-83.25
Toryská - Trieda SNP,0.3,Static,0.2,6,153,32575,212.91,1987,-1325.65
Toryská - Trieda SNP,0.3,Actuated,0.2,6,153,32311,211.18,1987,-1353.84
Toryská - Trieda SNP,0.3,PPO,0.2,7,162,9618,59.37,1954,-124.19
Toryská - Trieda SNP,0.3,Static,0.2,7,153,35228,230.25,1951,-1366.22
Toryská - Trieda SNP,0.3,Actuated,0.2,7,153,34093,222.83,1951,-1377.05
Toryská - Trieda SNP,0.3,PPO,0.2,8,162,10664,65.83,1639,-99.47
Toryská - Trieda SNP,0.3,Static,0.2,8,151,35702,236.44,1884,-1443.53
Toryská - Trieda SNP,0.3,Actuated,0.2,8,151,35277,233.62,1884,-1419.59
Toryská - Trieda SNP,0.3,PPO,0.2,9,162,10937,67.51,1305,-190.92
Toryská - Trieda SNP,0.3,Static,0.2,9,153,30242,197.66,1975,-1255.35
Toryská - Trieda SNP,0.3,Actuated,0.2,9,153,30011,196.15,1975,-1203.52
Toryská - Trieda SNP,0.5,PPO,0.2,0,162,10717,66.15,1981,-129.05
Toryská - Trieda SNP,0.5,Static,0.2,0,153,31421,205.37,1979,-1288.38
Toryská - Trieda SNP,0.5,Actuated,0.2,0,153,30421,198.83,1979,-1253.74
Toryská - Trieda SNP,0.5,PPO,0.2,1,162,8007,49.43,782,-77.09
Toryská - Trieda SNP,0.5,Static,0.2,1,153,31430,205.42,1980,-1276.72
Toryská - Trieda SNP,0.5,Actuated,0.2,1,153,30879,201.82,1972,-1297.69
Toryská - Trieda SNP,0.5,PPO,0.2,2,162,10098,62.33,1917,-78.16
Toryská - Trieda SNP,0.5,Static,0.2,2,152,34667,228.07,1980,-1370.5
Toryská - Trieda SNP,0.5,Actuated,0.2,2,152,33879,222.89,1980,-1393.88
Toryská - Trieda SNP,0.5,PPO,0.2,3,162,10710,66.11,1841,-156.25
Toryská - Trieda SNP,0.5,Static,0.2,3,153,28356,185.33,1834,-1164.07
Toryská - Trieda SNP,0.5,Actuated,0.2,3,153,27575,180.23,1833,-1153.17
Toryská - Trieda SNP,0.5,PPO,0.2,4,162,9421,58.15,1874,-104.59
Toryská - Trieda SNP,0.5,Static,0.2,4,152,34064,224.11,1960,-1404.41
Toryská - Trieda SNP,0.5,Actuated,0.2,4,152,33908,223.08,1960,-1394.8
Toryská - Trieda SNP,0.5,PPO,0.2,5,162,8549,52.77,1421,-80.59
Toryská - Trieda SNP,0.5,Static,0.2,5,153,30091,196.67,1639,-1213.5
Toryská - Trieda SNP,0.5,Actuated,0.2,5,153,28591,186.87,1639,-1213.39
Toryská - Trieda SNP,0.5,PPO,0.2,6,162,9922,61.25,1982,-91.04
Toryská - Trieda SNP,0.5,Static,0.2,6,151,37270,246.82,1987,-1444.94
Toryská - Trieda SNP,0.5,Actuated,0.2,6,151,35440,234.7,1978,-1446.87
Toryská - Trieda SNP,0.5,PPO,0.2,7,162,9577,59.12,1356,-52.49
Toryská - Trieda SNP,0.5,Static,0.2,7,153,30692,200.6,1977,-1253.29
Toryská - Trieda SNP,0.5,Actuated,0.2,7,153,29629,193.65,1977,-1252.95
Toryská - Trieda SNP,0.5,PPO,0.2,8,162,6179,38.14,685,-30.51
Toryská - Trieda SNP,0.5,Static,0.2,8,152,27178,178.8,1971,-1142.01
Toryská - Trieda SNP,0.5,Actuated,0.2,8,152,26952,177.32,1971,-1123.02
Toryská - Trieda SNP,0.5,PPO,0.2,9,162,11822,72.98,1805,-230.01
Toryská - Trieda SNP,0.5,Static,0.2,9,152,35521,233.69,1944,-1453.46
Toryská - Trieda SNP,0.5,Actuated,0.2,9,152,33598,221.04,1936,-1415.17
Toryská - Trieda SNP,0.8,PPO,0.2,0,162,10523,64.96,1849,-86.56
