intersection,variance,agent,scale,run,vehicles_total,total_wait,avg_wait,max_wait,total_reward
Toryská - Trieda SNP,0.3,PPO_seed2,0.2,0,162,9336,57.63,1837,-26.92
Toryská - Trieda SNP,0.3,PPO_seed2,0.2,1,162,7785,48.06,1509,-74.71
Toryská - Trieda SNP,0.3,PPO_seed2,0.2,2,162,7263,44.83,1470,-34.12
Toryská - Trieda SNP,0.3,PPO_seed2,0.2,3,162,8940,55.19,1802,-58.91
Toryská - Trieda SNP,0.3,PPO_seed2,0.2,4,162,8953,55.27,1873,-58.11
Toryská - Trieda SNP,0.3,PPO_seed2,0.2,5,162,8791,54.27,1631,-80.15
Toryská - Trieda SNP,0.3,PPO_seed2,0.2,6,162,8980,55.43,1624,-40.49
Toryská - Trieda SNP,0.3,PPO_seed2,0.2,7,162,12792,78.96,1960,-41.37
Toryská - Trieda SNP,0.3,PPO_seed2,0.2,8,162,10101,62.35,1637,-98.11
Toryská - Trieda SNP,0.3,PPO_seed2,0.2,9,162,8061,49.76,1308,-42.82
Toryská - Trieda SNP,0.5,PPO_seed2,0.2,0,162,7074,43.67,1980,-11.57
Toryská - Trieda SNP,0.5,PPO_seed2,0.2,1,162,6392,39.46,781,-17.76
Toryská - Trieda SNP,0.5,PPO_seed2,0.2,2,162,9089,56.1,1915,-13.81
Toryská - Trieda SNP,0.5,PPO_seed2,0.2,3,162,9415,58.12,1834,-54.42
Toryská - Trieda SNP,0.5,PPO_seed2,0.2,4,162,8492,52.42,1875,-24.4
Toryská - Trieda SNP,0.5,PPO_seed2,0.2,5,162,9076,56.02,1414,-43.59
Toryská - Trieda SNP,0.5,PPO_seed2,0.2,6,162,8684,53.6,1979,-55.14
Toryská - Trieda SNP,0.5,PPO_seed2,0.2,7,162,20521,126.67,1362,-134.35
Toryská - Trieda SNP,0.5,PPO_seed2,0.2,8,162,6665,41.14,689,0.45
Toryská - Trieda SNP,0.5,PPO_seed2,0.2,9,162,9634,59.47,1806,-67.81
Toryská - Trieda SNP,0.8,PPO_seed2,0.2,0,162,8873,54.77,1844,-28.36
Toryská - Trieda SNP,0.8,PPO_seed2,0.2,1,162,14634,90.33,1587,-674.28
