intersection,metric,scale,variance,agent,n,mean,sd,ci95
Herlianska - Zelená Stráň,avg_wait,0.2,0.3,PPO,10,34.693,5.179360857180052,3.7050915577894385
Herlianska - Zelená Stráň,avg_wait,0.2,0.3,Static,10,29.997000000000003,3.020783746719457,2.1609385147130964
Herlianska - Zelená Stráň,avg_wait,0.2,0.3,Actuated,10,3.6849999999999996,0.7571620991864585,0.5416411366056616
Herlianska - Zelená Stráň,avg_wait,0.2,0.5,PPO,10,38.653000000000006,8.360453270540352,5.980707984273844
Herlianska - Zelená Stráň,avg_wait,0.2,0.5,Static,10,29.727999999999998,1.6123330232237318,1.1533935629161551
Herlianska - Zelená Stráň,avg_wait,0.2,0.5,Actuated,10,3.6060000000000003,0.44522653409996427,0.31849587589766254
Herlianska - Zelená Stráň,avg_wait,0.2,0.8,PPO,10,34.723,8.543538233984533,6.1116790772562615
Herlianska - Zelená Stráň,avg_wait,0.2,0.8,Static,10,29.234,2.5526770261825136,1.8260751394374397
Herlianska - Zelená Stráň,avg_wait,0.2,0.8,Actuated,10,3.7949999999999995,0.8132547776271181,0.5817674215035706
Herlianska - Zelená Stráň,avg_wait,0.6,0.3,PPO,10,30.22,2.823642249923945,2.0199119835235484
Herlianska - Zelená Stráň,avg_wait,0.6,0.3,Static,10,31.487000000000002,1.1626602637438377,0.8317170489873791
Herlianska - Zelená Stráň,avg_wait,0.6,0.3,Actuated,10,18.317999999999998,1.6995607275607025,1.2157925036071162
Herlianska - Zelená Stráň,avg_wait,0.6,0.5,PPO,10,37.874,16.062375775568057,11.49033143763243
Herlianska - Zelená Stráň,avg_wait,0.6,0.5,Static,10,31.969,1.3609020701154237,0.9735306942308964
Herlianska - Zelená Stráň,avg_wait,0.6,0.5,Actuated,10,18.866000000000003,1.6880705619796288,1.2075729343077457
Herlianska - Zelená Stráň,avg_wait,0.6,0.8,PPO,10,32.544,8.540813388274756,6.10972984006002
Herlianska - Zelená Stráň,avg_wait,0.6,0.8,Static,10,31.493000000000002,2.009367230415253,1.437414724944215
Herlianska - Zelená Stráň,avg_wait,0.6,0.8,Actuated,10,18.744,1.8577836257217892,1.3289783464921394
Herlianska - Zelená Stráň,avg_wait,1.0,0.3,PPO,10,55.919000000000004,17.069390049637587,12.210706053016901
Herlianska - Zelená Stráň,avg_wait,1.0,0.3,Static,10,37.938,1.733812754211558,1.2402949274159023
Herlianska - Zelená Stráň,avg_wait,1.0,0.3,Actuated,10,39.988,2.776199640595835,1.9859735853025782
Herlianska - Zelená Stráň,avg_wait,1.0,0.5,PPO,10,52.53799999999999,14.606963940379792,10.44919253027334
Herlianska - Zelená Stráň,avg_wait,1.0,0.5,Static,10,37.118,1.0835312639698047,0.7751115725350748
Herlianska - Zelená Stráň,avg_wait,1.0,0.5,Actuated,10,39.068,3.199516630159416,2.2887963172090795
