intersection,metric,scale,variance,agent,n,mean,sd,ci95
Jantárova - Palackého,avg_wait,0.2,0.3,PPO,10,39.468999999999994,3.2666920067044387,2.336850686732929
Jantárova - Palackého,avg_wait,0.2,0.3,Static,10,27.256999999999998,1.376445099199787,0.9846495074263732
Jantárova - Palackého,avg_wait,0.2,0.3,Actuated,10,11.558000000000002,0.9930849801390502,0.7104101987757631
Jantárova - Palackého,avg_wait,0.2,0.5,PPO,10,39.40599999999999,3.627610783973386,2.595036426553138
Jantárova - Palackého,avg_wait,0.2,0.5,Static,10,27.633,1.7093016767739448,1.2227607588976908
Jantárova - Palackého,avg_wait,0.2,0.5,Actuated,10,11.789,1.3709076474284392,0.9806882530601623
Jantárova - Palackého,avg_wait,0.2,0.8,PPO,10,38.64,2.8928455810076623,2.069417064331683
Jantárova - Palackého,avg_wait,0.2,0.8,Static,10,27.848000000000003,2.2858783869663752,1.6352188903658835
Jantárova - Palackého,avg_wait,0.2,0.8,Actuated,10,12.149000000000001,0.9525807052423432,0.6814351860063536
Jantárova - Palackého,avg_wait,0.6,0.3,PPO,10,41.313,2.5723143492021157,1.840122834074636
Jantárova - Palackého,avg_wait,0.6,0.3,Static,10,27.281,1.4273553633672773,1.0210685164842783
Jantárova - Palackého,avg_wait,0.6,0.3,Actuated,10,23.805,1.4187964383001999,1.0149458303297079
Jantárova - Palackého,avg_wait,0.6,0.5,PPO,10,40.89200000000001,3.6406373068461506,2.6043550396511854
Jantárova - Palackého,avg_wait,0.6,0.5,Static,10,27.681,1.3170628096049342,0.9421699764712959
Jantárova - Palackého,avg_wait,0.6,0.5,Actuated,10,23.667,1.4663109417097653,1.048935658478347
Jantárova - Palackého,avg_wait,0.6,0.8,PPO,10,40.017,3.3835945711952866,2.4204777435692044
Jantárova - Palackého,avg_wait,0.6,0.8,Static,10,27.242,0.801065956502127,0.5730480641359518
Jantárova - Palackého,avg_wait,0.6,0.8,Actuated,10,24.085,1.5705925987063325,1.1235342619787485
Jantárova - Palackého,avg_wait,1.0,0.3,PPO,10,44.50899999999999,2.31845470566544,1.6585225849189364
Jantárova - Palackého,avg_wait,1.0,0.3,Static,10,28.508999999999997,0.8191926920246941,0.5860151495750443
Jantárova - Palackého,avg_wait,1.0,0.3,Actuated,10,34.759,2.300456234943166,1.645647254590529
Jantárova - Palackého,avg_wait,1.0,0.5,PPO,10,45.707,2.8652634162401966,2.0496859722831684
Jantárova - Palackého,avg_wait,1.0,0.5,Static,10,28.976,1.123508393876571,0.8037094884954732
Jantárova - Palackého,avg_wait,1.0,0.5,Actuated,10,35.428000000000004,1.754770007088615,1.2552868429920492
Jantárova - Palackého,avg_wait,1.0,0.8,PPO,10,45.872,2.9246872577346728,2.0921952276765983
Jantárova - Palackého,avg_wait,1.0,0.8,Static,10,29.404999999999994,1.082047955396514,0.7740504775034597
Jantárova - Palackého,avg_wait,1.0,0.8,Actuated,10,33.508,1.35846154814105,0.971784849982312
Jantárova - Palackého,avg_wait,1.4,0.3,PPO,10,56.416,5.6904758637178645,4.070721207470538
Jantárova - Palackého,avg_wait,1.4,0.3,Static,10,36.620999999999995,3.6007883396093514,2.575848805741838
Jantárova - Palackého,avg_wait,1.4,0.3,Actuated,10,49.624,3.81874674031503,2.731766852904819
Jantárova - Palackého,avg_wait,1.4,0.5,PPO,10,54.564,4.883503296245888,3.4934478083863185
Jantárova - Palackého,avg_wait,1.4,0.5,Static,10,37.311,3.3594954978389238,2.4032383050158104
Jantárova - Palackého,avg_wait,1.4,0.5,Actuated,10,48.997,3.371241281453728,2.4116407324409055
Jantárova - Palackého,avg_wait,1.4,0.8,PPO,10,55.59100000000001,6.0057388295603475,4.296246747288325
Jantárova - Palackého,avg_wait,1.4,0.8,Static,10,37.031,1.9456986748552125,1.391868984030038
Jantárova - Palackého,avg_wait,1.4,0.8,Actuated,10,48.75699999999999,3.399117695978048,2.4315823180850713
Jantárova - Palackého,total_wait,0.2,0.3,PPO,10,6709.9,555.4614598091692,397.353191284854
Jantárova - Palackého,total_wait,0.2,0.3,Static,10,4633.7,234.32221405577405,167.62401405127605
Jantárova - Palackého,total_wait,0.2,0.3,Actuated,10,1964.9,168.9822147117527,120.88259428325678
Jantárova - Palackého,total_wait,0.2,0.5,PPO,10,6698.7,616.6122588610915,441.0978376933518
Jantárova - Palackého,total_wait,0.2,0.5,Static,10,4697.7,290.36109702690317,207.71181598854565
Jantárova - Palackého,total_wait,0.2,0.5,Actuated,10,2004.0,233.1403964233664,166.77859264631442
Jantárova - Palackého,total_wait,0.2,0.8,PPO,10,6568.7,491.4543157247115,351.5652387314464
Jantárova - Palackého,total_wait,0.2,0.8,Static,10,4734.2,388.4999070498959,277.91609148397123
Jantárova - Palackého,total_wait,0.2,0.8,Actuated,10,2065.4,161.8375042373608,115.7715763041133
