intersection,metric,scale,variance,agent,n,mean,sd,ci95
Toryská - Trieda SNP,avg_wait,0.2,0.3,PPO full,10,59.746,7.466341064329226,5.341098642700275
Toryská - Trieda SNP,avg_wait,0.2,0.3,SAC same reward,10,312.59700000000004,41.78443943490075,29.890787311869225
Toryská - Trieda SNP,avg_wait,0.2,0.3,Reward trip only,10,655.147,169.71736865546004,121.40849173085255
Toryská - Trieda SNP,avg_wait,0.2,0.3,Reward dwait only,10,145.632,20.93300466833284,14.97456945220806
Toryská - Trieda SNP,avg_wait,0.2,0.3,Reward dwait w1.0,10,112.80799999999999,20.61558299496335,14.74749966605843
Toryská - Trieda SNP,avg_wait,0.2,0.3,Reward flow,10,75.774,6.896065222687177,4.933147881073402
Toryská - Trieda SNP,avg_wait,0.2,0.5,PPO full,10,54.563,7.980522191213081,5.708921662736419
Toryská - Trieda SNP,avg_wait,0.2,0.5,SAC same reward,10,286.06399999999996,57.59149902546381,41.19847655306834
Toryská - Trieda SNP,avg_wait,0.2,0.5,Reward trip only,10,555.689,230.8306289829551,165.1262845525092
Toryská - Trieda SNP,avg_wait,0.2,0.5,Reward dwait only,10,150.792,41.08153648538477,29.387960832705822
Toryská - Trieda SNP,avg_wait,0.2,0.5,Reward dwait w1.0,10,98.70000000000002,17.221998851598048,12.319875813109519
Toryská - Trieda SNP,avg_wait,0.2,0.5,Reward flow,10,77.06300000000002,15.427669983218825,11.036290265531914
Toryská - Trieda SNP,avg_wait,0.2,0.8,PPO full,10,54.467999999999996,8.309286371283637,5.944105389385674
Toryská - Trieda SNP,avg_wait,0.2,0.8,SAC same reward,10,258.954,49.29247569355794,35.2617128997778
Toryská - Trieda SNP,avg_wait,0.2,0.8,Reward trip only,10,483.467,179.6756972405809,128.53225085614383
Toryská - Trieda SNP,avg_wait,0.2,0.8,Reward dwait only,10,128.419,30.986673999568843,22.16653123865321
Toryská - Trieda SNP,avg_wait,0.2,0.8,Reward dwait w1.0,10,103.904,18.746376360957512,13.410349791736174
Toryská - Trieda SNP,avg_wait,0.2,0.8,Reward flow,10,70.535,7.20667938635942,5.1553478681486435
Toryská - Trieda SNP,avg_wait,0.6,0.3,PPO full,10,71.629,7.244158489584709,5.182158803470441
Toryská - Trieda SNP,avg_wait,0.6,0.3,SAC same reward,10,279.14099999999996,15.101454271397547,10.802929603244428
Toryská - Trieda SNP,avg_wait,0.6,0.3,Reward trip only,10,608.422,91.89975284696543,65.74112285607397
Toryská - Trieda SNP,avg_wait,0.6,0.3,Reward dwait only,10,161.869,13.876182992611637,9.92642333227742
Toryská - Trieda SNP,avg_wait,0.6,0.3,Reward dwait w1.0,10,67.384,7.999041887070671,5.722169855064622
Toryská - Trieda SNP,avg_wait,0.6,0.3,Reward flow,10,66.26500000000001,5.490211997525939,3.927461067673178
Toryská - Trieda SNP,avg_wait,0.6,0.5,PPO full,10,70.673,5.9966750972703355,4.289762943694642
Toryská - Trieda SNP,avg_wait,0.6,0.5,SAC same reward,10,276.28799999999995,34.360756620824795,24.580204543084257
Toryská - Trieda SNP,avg_wait,0.6,0.5,Reward trip only,10,528.769,119.07581669302593,85.18170780545306
Toryská - Trieda SNP,avg_wait,0.6,0.5,Reward dwait only,10,164.875,13.369111372446895,9.563686146970836
Toryská - Trieda SNP,avg_wait,0.6,0.5,Reward dwait w1.0,10,70.88199999999999,7.610972780575861,5.444561939739694
Toryská - Trieda SNP,avg_wait,0.6,0.5,Reward flow,10,68.71700000000001,6.222780818180175,4.451509232626971
Toryská - Trieda SNP,avg_wait,0.6,0.8,PPO full,10,68.91600000000001,6.905506981146761,4.939902108191972
Toryská - Trieda SNP,avg_wait,0.6,0.8,SAC same reward,10,269.845,17.265039981290382,12.350665582475711
Toryská - Trieda SNP,avg_wait,0.6,0.8,Reward trip only,10,583.581,96.87198854960889,69.29804600407387
Toryská - Trieda SNP,avg_wait,0.6,0.8,Reward dwait only,10,168.28799999999998,11.320740847370955,8.098370145871007
Toryská - Trieda SNP,avg_wait,0.6,0.8,Reward dwait w1.0,10,66.42600000000002,6.021956492702352,4.30784816450951
Toryská - Trieda SNP,avg_wait,0.6,0.8,Reward flow,10,69.846,9.132446672290087,6.5329587954315285
Toryská - Trieda SNP,avg_wait,1.0,0.3,PPO full,10,88.691,12.7545359687359,9.124045387686467
Toryská - Trieda SNP,avg_wait,1.0,0.3,SAC same reward,10,223.41200000000003,25.134154628490872,17.979891089225493
Toryská - Trieda SNP,avg_wait,1.0,0.3,Reward trip only,10,384.56499999999994,115.72768978655597,82.78660210084357
Toryská - Trieda SNP,avg_wait,1.0,0.3,Reward dwait only,10,153.08700000000002,11.66186953756177,8.342398910223734
Toryská - Trieda SNP,avg_wait,1.0,0.3,Reward dwait w1.0,10,75.49800000000002,3.5048119302847995,2.507191418457607
Toryská - Trieda SNP,avg_wait,1.0,0.3,Reward flow,10,78.53200000000001,7.140545886384006,5.108038812225219
Toryská - Trieda SNP,avg_wait,1.0,0.5,PPO full,10,84.02900000000001,8.193933324926029,5.861586791049005
Toryská - Trieda SNP,avg_wait,1.0,0.5,SAC same reward,10,223.78500000000003,26.441697814878175,18.915251137462533
Toryská - Trieda SNP,avg_wait,1.0,0.5,Reward trip only,10,459.7389999999999,91.03010716241083,65.11901580988025
Toryská - Trieda SNP,avg_wait,1.0,0.5,Reward dwait only,10,151.40800000000002,16.18466475813859,11.577811705554478
Toryská - Trieda SNP,avg_wait,1.0,0.5,Reward dwait w1.0,10,74.487,8.118424929340254,5.807571338807955
Toryská - Trieda SNP,avg_wait,1.0,0.5,Reward flow,10,82.19300000000001,6.1113683683225455,4.371809567210206
Toryská - Trieda SNP,avg_wait,1.0,0.8,PPO full,10,83.45499999999998,10.737959924181748,7.681473787799648
Toryská - Trieda SNP,avg_wait,1.0,0.8,SAC same reward,10,223.54700000000003,18.203862258078946,13.022258581655512
Toryská - Trieda SNP,avg_wait,1.0,0.8,Reward trip only,10,376.868,92.09758952087485,65.88264668700934
Toryská - Trieda SNP,avg_wait,1.0,0.8,Reward dwait only,10,152.46800000000002,11.060740180174802,7.912376873035258
Toryská - Trieda SNP,avg_wait,1.0,0.8,Reward dwait w1.0,10,78.159,6.659673749099459,4.764043607929845
Toryská - Trieda SNP,avg_wait,1.0,0.8,Reward flow,10,77.40300000000002,10.217286060615335,7.309006143738986
Toryská - Trieda SNP,avg_wait,1.4,0.3,PPO full,10,103.572,9.382479890140395,6.711821784542815
Toryská - Trieda SNP,avg_wait,1.4,0.3,SAC same reward,10,221.496,13.968794746386202,9.992673789914107
Toryská - Trieda SNP,avg_wait,1.4,0.3,Reward trip only,10,353.77799999999996,88.890273658658,63.58827113534326
Toryská - Trieda SNP,avg_wait,1.4,0.3,Reward dwait only,10,160.88600000000002,11.826803080761563,8.460385259377915
Toryská - Trieda SNP,avg_wait,1.4,0.3,Reward dwait w1.0,10,82.34700000000001,4.899700784515089,3.5050347933927517
